target	acc	tlen	query	qlen	evalue
Haem_oxygenas_2	PF14518.6	178	D3980.contig1_1	367	3.1e-36
TetR_N	PF00440.23	47	D3980.contig1_2	193	1.8e-13
HTH_7	PF02796.15	45	D3980.contig1_2	193	0.00075
HTH_Tnp_1_2	PF13022.6	123	D3980.contig1_2	193	0.001
T6SS_HCP	PF05638.12	129	D3980.contig1_4	148	8.9e-29
HAD	PF12710.7	188	D3980.contig1_5	43	0.031
Acetyltransf_3	PF13302.7	138	D3980.contig1_6	179	5.7e-27
Acetyltransf_1	PF00583.25	117	D3980.contig1_6	179	5.8e-10
Acetyltransf_8	PF13523.6	145	D3980.contig1_6	179	1e-07
Acetyltransf_4	PF13420.7	155	D3980.contig1_6	179	1e-06
FR47	PF08445.10	86	D3980.contig1_6	179	4.1e-05
Acetyltransf_7	PF13508.7	76	D3980.contig1_6	179	0.0023
MFS_1	PF07690.16	353	D3980.contig1_7	433	2.1e-36
MFS_1	PF07690.16	353	D3980.contig1_7	433	2.1e-36
Peripla_BP_3	PF13377.6	166	D3980.contig1_9	353	1e-25
Peripla_BP_1	PF00532.21	279	D3980.contig1_9	353	1.6e-15
LacI	PF00356.21	46	D3980.contig1_9	353	7e-15
Peripla_BP_4	PF13407.6	258	D3980.contig1_9	353	1.7e-06
HTH_24	PF13412.6	48	D3980.contig1_9	353	0.0039
PTS_EIIA_2	PF00359.22	144	D3980.contig1_10	146	3.3e-31
PTS_IIB	PF02302.17	90	D3980.contig1_11	89	4.9e-17
DUF948	PF06103.11	89	D3980.contig1_11	89	0.012
EIIC-GAT	PF03611.14	396	D3980.contig1_12	421	1.7e-144
Ribul_P_3_epim	PF00834.19	198	D3980.contig1_13	227	1.1e-62
QRPTase_C	PF01729.19	169	D3980.contig1_13	227	0.0059
PTS_EIIA_2	PF00359.22	144	D3980.contig1_14	152	1.1e-33
PTS_IIB	PF02302.17	90	D3980.contig1_15	104	2.6e-19
PTS_EIIC	PF02378.18	324	D3980.contig1_16	369	9.8e-07
Gag_spuma	PF03276.14	614	D3980.contig1_16	369	0.0031
LysE	PF01810.18	193	D3980.contig1_17	207	1.6e-31
TerC	PF03741.16	181	D3980.contig1_17	207	0.065
MFS_1	PF07690.16	353	D3980.contig1_18	403	2.9e-29
MFS_1	PF07690.16	353	D3980.contig1_18	403	2.9e-29
MFS_4	PF06779.14	363	D3980.contig1_18	403	0.03
LysR_substrate	PF03466.20	209	D3980.contig1_19	301	2.1e-34
HTH_1	PF00126.27	60	D3980.contig1_19	301	7.4e-16
LysR_substrate	PF03466.20	209	D3980.contig1_20	296	4.9e-34
HTH_1	PF00126.27	60	D3980.contig1_20	296	1.5e-19
HTH_30	PF13556.6	59	D3980.contig1_20	296	0.0025
Lactamase_B	PF00753.27	197	D3980.contig1_21	265	8.1e-23
Lactamase_B_2	PF12706.7	201	D3980.contig1_21	265	0.011
TolA	PF06519.11	96	D3980.contig1_22	143	2.6e-15
TonB_2	PF13103.6	85	D3980.contig1_22	143	5.8e-08
TonB_C	PF03544.14	79	D3980.contig1_22	143	0.00014
But2	PF09792.9	142	D3980.contig1_22	143	0.0012
Peptidase_M20	PF01546.28	207	D3980.contig1_23	381	5.5e-31
M20_dimer	PF07687.14	109	D3980.contig1_23	381	1e-22
Peptidase_M28	PF04389.17	198	D3980.contig1_23	381	5.5e-05
GATase1_like	PF07090.11	247	D3980.contig1_24	252	6.1e-111
PTE	PF02126.18	298	D3980.contig1_25	360	3.7e-69
BPD_transp_2	PF02653.16	268	D3980.contig1_26	337	5.4e-46
ABC_tran	PF00005.27	137	D3980.contig1_27	261	1.5e-32
AAA_21	PF13304.6	303	D3980.contig1_27	261	5.1e-11
AAA_21	PF13304.6	303	D3980.contig1_27	261	5.1e-11
SMC_N	PF02463.19	220	D3980.contig1_27	261	1.4e-07
AAA_23	PF13476.6	200	D3980.contig1_27	261	0.0035
Peripla_BP_3	PF13377.6	166	D3980.contig1_28	341	5.1e-39
Peripla_BP_1	PF00532.21	279	D3980.contig1_28	341	3.6e-37
Peripla_BP_4	PF13407.6	258	D3980.contig1_28	341	8.5e-14
LacI	PF00356.21	46	D3980.contig1_28	341	6.8e-12
HTH_3	PF01381.22	55	D3980.contig1_28	341	7.3e-05
Peripla_BP_4	PF13407.6	258	D3980.contig1_29	318	4.1e-51
Peripla_BP_1	PF00532.21	279	D3980.contig1_29	318	3.2e-18
Peripla_BP_3	PF13377.6	166	D3980.contig1_29	318	2.3e-10
PfkB	PF00294.24	302	D3980.contig1_30	291	2.1e-38
BtpA	PF03437.15	254	D3980.contig1_31	282	4.7e-69
Trp_syntA	PF00290.20	259	D3980.contig1_31	282	0.0019
TENA_THI-4	PF03070.16	210	D3980.contig1_32	215	1.3e-20
PIF	PF05092.12	522	D3980.contig1_32	215	0.035
Hydrolase_4	PF12146.8	239	D3980.contig1_33	291	3.9e-17
Abhydrolase_6	PF12697.7	220	D3980.contig1_33	291	4e-09
Abhydrolase_1	PF00561.20	257	D3980.contig1_33	291	3.4e-06
LIDHydrolase	PF10230.9	266	D3980.contig1_33	291	0.0002
Acyl_transf_2	PF02273.15	294	D3980.contig1_33	291	0.0027
Peptidase_S9	PF00326.21	212	D3980.contig1_33	291	0.0079
LysM	PF01476.20	44	D3980.contig1_34	150	1.3e-12
BON	PF04972.17	69	D3980.contig1_34	150	2.7e-10
MFS_1	PF07690.16	353	D3980.contig1_35	464	1.7e-47
OATP	PF03137.20	546	D3980.contig1_35	464	0.00015
LacY_symp	PF01306.19	413	D3980.contig1_35	464	0.011
SBP_bac_6	PF13343.6	245	D3980.contig1_36	407	4.7e-33
SBP_bac_11	PF13531.6	230	D3980.contig1_36	407	2.2e-21
SBP_bac_8	PF13416.6	282	D3980.contig1_36	407	9.1e-12
SBP_bac_1	PF01547.25	315	D3980.contig1_36	407	0.00063
HATPase_c	PF02518.26	112	D3980.contig1_37	665	5.3e-16
HisKA	PF00512.25	67	D3980.contig1_37	665	1.6e-07
HAMP	PF00672.25	53	D3980.contig1_37	665	2.5e-06
HATPase_c_2	PF13581.6	125	D3980.contig1_37	665	0.0008
Response_reg	PF00072.24	112	D3980.contig1_38	417	4.9e-27
Sigma54_activ_2	PF14532.6	138	D3980.contig1_38	417	8.8e-18
HTH_8	PF02954.19	42	D3980.contig1_38	417	2.4e-10
Sigma54_activat	PF00158.26	168	D3980.contig1_38	417	2.8e-09
GrpB	PF04229.14	160	D3980.contig1_39	173	1.4e-49
LysR_substrate	PF03466.20	209	D3980.contig1_40	303	5.5e-44
HTH_1	PF00126.27	60	D3980.contig1_40	303	1.4e-20
T2SSM_b	PF10741.9	111	D3980.contig1_40	303	0.02
Aldo_ket_red	PF00248.21	294	D3980.contig1_41	329	1.4e-72
Aldo_ket_red	PF00248.21	294	D3980.contig1_42	394	9.7e-68
SGL	PF08450.12	246	D3980.contig1_43	315	3.5e-31
Str_synth	PF03088.16	89	D3980.contig1_43	315	1.6e-07
Aldo_ket_red	PF00248.21	294	D3980.contig1_44	346	1e-71
Acetyltransf_3	PF13302.7	138	D3980.contig1_45	138	4.9e-16
Acetyltransf_1	PF00583.25	117	D3980.contig1_45	138	2.4e-05
HTH_28	PF13518.6	52	D3980.contig1_47	111	1.6e-09
HTH_23	PF13384.6	50	D3980.contig1_47	111	4.2e-06
HTH_29	PF13551.6	63	D3980.contig1_47	111	1.1e-05
HTH_32	PF13565.6	73	D3980.contig1_47	111	0.00045
HTH_Crp_2	PF13545.6	68	D3980.contig1_47	111	0.0034
Baseplate_J	PF04865.14	255	D3980.contig2_2	411	2.8e-10
DUF2612	PF11041.8	181	D3980.contig2_3	196	2.8e-52
Transthyretin	PF00576.21	110	D3980.contig2_9	134	2.8e-37
bMG3	PF11974.8	103	D3980.contig2_9	134	8.5e-05
CarboxypepD_reg	PF13620.6	82	D3980.contig2_9	134	0.003
SdrD_B	PF17210.3	112	D3980.contig2_9	134	0.014
Citrate_synt	PF00285.21	361	D3980.contig2_12	435	3.5e-107
GerE	PF00196.19	57	D3980.contig2_14	221	6.5e-06
FimA	PF16970.5	143	D3980.contig2_15	187	4.1e-16
Fimbrial	PF00419.20	154	D3980.contig2_15	187	8.1e-15
PapD_N	PF00345.20	125	D3980.contig2_16	232	1.2e-44
PapD_C	PF02753.17	63	D3980.contig2_16	232	3.2e-12
Usher	PF00577.20	551	D3980.contig2_17	812	8e-130
PapC_N	PF13954.6	146	D3980.contig2_17	812	5.2e-27
PapC_C	PF13953.6	66	D3980.contig2_17	812	1.3e-17
Big_6	PF17936.1	83	D3980.contig2_17	812	0.00013
Fimbrial	PF00419.20	154	D3980.contig2_18	342	1.8e-16
Acetyltransf_9	PF13527.7	128	D3980.contig2_19	289	7.5e-13
Acetyltransf_10	PF13673.7	127	D3980.contig2_19	289	7.7e-09
Acetyltransf_1	PF00583.25	117	D3980.contig2_19	289	7e-08
Acetyltransf_7	PF13508.7	76	D3980.contig2_19	289	2.1e-07
FR47	PF08445.10	86	D3980.contig2_19	289	4.8e-06
GNAT_acetyltran	PF12746.7	243	D3980.contig2_19	289	0.0032
Lip_A_acyltrans	PF03279.13	295	D3980.contig2_20	307	4.8e-105
DUF1471	PF07338.13	56	D3980.contig2_21	91	2e-20
CadC_C1	PF18500.1	134	D3980.contig2_22	523	1.7e-79
Trans_reg_C	PF00486.28	77	D3980.contig2_22	523	1.1e-18
Homez	PF11569.8	57	D3980.contig2_22	523	0.015
AA_permease_2	PF13520.6	425	D3980.contig2_23	445	1.4e-39
AA_permease	PF00324.21	479	D3980.contig2_23	445	2.2e-18
OKR_DC_1	PF01276.20	417	D3980.contig2_24	716	8.3e-197
OKR_DC_1_C	PF03711.15	132	D3980.contig2_24	716	2.4e-46
OKR_DC_1_N	PF03709.15	111	D3980.contig2_24	716	2e-28
PTR2	PF00854.21	395	D3980.contig2_25	492	1.6e-83
MFS_1	PF07690.16	353	D3980.contig2_25	492	4.2e-18
tRNA-synt_2	PF00152.20	314	D3980.contig2_26	506	4.9e-84
tRNA_anti-codon	PF01336.25	76	D3980.contig2_26	506	2.6e-15
AP_endonuc_2	PF01261.24	210	D3980.contig2_28	307	2.4e-22
GFO_IDH_MocA	PF01408.22	120	D3980.contig2_29	232	1e-29
NAD_binding_3	PF03447.16	117	D3980.contig2_29	232	4.8e-08
GFO_IDH_MocA_C	PF02894.17	116	D3980.contig2_29	232	9.2e-08
Peripla_BP_6	PF13458.6	342	D3980.contig2_29	232	0.014
HTH_28	PF13518.6	52	D3980.contig3_1	69	1.3e-10
HTH_23	PF13384.6	50	D3980.contig3_1	69	5.5e-10
LZ_Tnp_IS481	PF13011.6	85	D3980.contig3_1	69	9.7e-06
HTH_29	PF13551.6	63	D3980.contig3_1	69	1.8e-05
AbiEi_4	PF13338.6	49	D3980.contig3_1	69	0.0013
FaeA	PF04703.12	62	D3980.contig3_1	69	0.0016
HTH_Tnp_ISL3	PF13542.6	52	D3980.contig3_1	69	0.0028
DnaB_bind	PF10410.9	56	D3980.contig3_1	69	0.0051
HTH_24	PF13412.6	48	D3980.contig3_1	69	0.007
Gp_dh_C	PF02800.20	158	D3980.contig3_2	337	8e-62
Gp_dh_N	PF00044.24	101	D3980.contig3_2	337	1.9e-39
DapB_N	PF01113.20	124	D3980.contig3_2	337	8.2e-05
2-Hacid_dh_C	PF02826.19	178	D3980.contig3_2	337	0.02
HTH_18	PF12833.7	81	D3980.contig3_3	327	1.2e-20
DJ-1_PfpI	PF01965.24	165	D3980.contig3_3	327	5e-19
HTH_AraC	PF00165.23	42	D3980.contig3_3	327	4.9e-18
HTH_AraC	PF00165.23	42	D3980.contig3_3	327	4.9e-18
DUF2255	PF10012.9	115	D3980.contig3_4	124	5.6e-40
Peptidase_S15	PF02129.18	269	D3980.contig3_5	360	1.2e-08
