target	acc	tlen	query	qlen	evalue
DUF1983	PF09327.11	81	D3654.contig1_1	575	5.4e-20
DUF3672	PF12421.8	133	D3654.contig1_1	575	0.0022
Peptidase_S74	PF13884.6	58	D3654.contig1_2	414	3.1e-07
HTH_31	PF13560.6	64	D3654.contig1_4	68	1.2e-08
HTH_3	PF01381.22	55	D3654.contig1_4	68	5.8e-08
HTH_19	PF12844.7	65	D3654.contig1_4	68	2.7e-07
HTH_37	PF13744.6	80	D3654.contig1_4	68	0.0071
SSB	PF00436.25	104	D3654.contig1_5	161	4.6e-41
ERF	PF04404.12	153	D3654.contig1_6	232	1.1e-24
DUF3799	PF12684.7	234	D3654.contig1_7	348	7.8e-30
VRR_NUC	PF08774.11	108	D3654.contig1_9	140	3.3e-09
Helicase_C	PF00271.31	111	D3654.contig1_10	683	6.9e-10
zinc_ribbon_2	PF13240.6	23	D3654.contig1_10	683	0.014
MmcB-like	PF06319.12	148	D3654.contig1_11	188	0.0045
Prim_Zn_Ribbon	PF08273.12	38	D3654.contig1_12	165	1.3e-11
Rsm1	PF08600.10	92	D3654.contig1_12	165	0.02
Phage_sheath_1N	PF17481.2	104	D3654.contig1_13	131	0.042
Dam	PF05869.11	171	D3654.contig1_16	243	5.4e-38
POTRA	PF07244.15	80	D3654.contig1_17	86	0.026
Phage_holin_3_1	PF05106.12	99	D3654.contig1_20	117	2.1e-11
DUF2514	PF10721.9	161	D3654.contig1_21	167	5e-16
Phage_lysozyme	PF00959.19	109	D3654.contig1_22	166	2.2e-06
DUF932	PF06067.11	228	D3654.contig1_22	166	0.083
DUF3850	PF12961.7	77	D3654.contig1_23	80	1.6e-24
ASCH	PF04266.14	107	D3654.contig1_23	80	0.0014
OB_aCoA_assoc	PF01796.17	65	D3654.contig1_25	81	0.06
Atg29_N	PF18388.1	54	D3654.contig1_27	95	0.064
ATS	PF15445.6	446	D3654.contig1_28	121	0.074
DUF1772	PF08592.11	137	D3654.contig1_29	77	0.008
Phage_NinH	PF06322.11	60	D3654.contig1_35	89	4.8e-06
AAA_25	PF13481.6	194	D3654.contig1_36	554	2.2e-17
NACHT	PF05729.12	166	D3654.contig1_36	554	0.0089
GP3_package	PF16677.5	113	D3654.contig1_37	201	5.2e-12
HTH_Tnp_1_2	PF13022.6	123	D3654.contig1_37	201	0.0077
Terminase_6	PF03237.15	215	D3654.contig1_41	454	2.6e-13
Terminase_6C	PF17289.2	155	D3654.contig1_41	454	5.5e-06
Terminase_3	PF04466.13	201	D3654.contig1_41	454	0.00053
DUF4055	PF13264.6	135	D3654.contig1_42	523	1.6e-28
Phage_Mu_F	PF04233.14	112	D3654.contig1_43	373	3.7e-06
Phage_GP20	PF06810.11	149	D3654.contig1_44	234	2.9e-06
HemX	PF04375.14	338	D3654.contig1_44	234	0.0053
DUF737	PF05300.11	201	D3654.contig1_44	234	0.015
DUF4128	PF13554.6	128	D3654.contig1_49	151	3.2e-07
Phage_tail_3	PF08813.11	165	D3654.contig1_50	224	2.9e-39
Phage_TAC_4	PF08748.11	128	D3654.contig1_51	130	1.9e-22
DUF1799	PF08809.11	80	D3654.contig1_52	111	3.9e-12
TMP_2	PF06791.13	205	D3654.contig1_53	980	3.1e-45
Tape_meas_lam_C	PF09718.10	76	D3654.contig1_53	980	2.8e-19
BAR_3_WASP_bdg	PF10456.9	236	D3654.contig1_53	980	0.0051
