target	acc	tlen	query	qlen	evalue
Amidase_2	PF01510.25	126	D3574.contig1_2	178	3.1e-07
Chordopox_G3	PF06129.12	108	D3574.contig1_3	204	0.015
DNA_pol3_alpha	PF07733.12	260	D3574.contig1_7	973	1.9e-59
DNA_pol3_finger	PF17657.1	166	D3574.contig1_7	973	5.3e-50
PHP	PF02811.19	167	D3574.contig1_7	973	8.1e-34
Rad52_Rad22	PF04098.15	153	D3574.contig1_8	232	1.4e-17
TrmB	PF01978.19	68	D3574.contig1_9	91	1.6e-05
HTH_IclR	PF09339.10	52	D3574.contig1_9	91	1.7e-05
HTH_Crp_2	PF13545.6	68	D3574.contig1_9	91	3.6e-05
HTH_24	PF13412.6	48	D3574.contig1_9	91	0.00015
GntR	PF00392.21	64	D3574.contig1_9	91	0.0013
MarR	PF01047.22	59	D3574.contig1_9	91	0.0022
HTH_11	PF08279.12	55	D3574.contig1_9	91	0.0035
MarR_2	PF12802.7	62	D3574.contig1_9	91	0.01
HlyU	PF10115.9	91	D3574.contig1_10	95	0.033
DUF3114	PF11311.8	255	D3574.contig1_10	95	0.038
DnaB_C	PF03796.15	255	D3574.contig1_11	659	3.8e-35
zf-CHC2	PF01807.20	98	D3574.contig1_11	659	2.2e-21
Toprim_2	PF13155.6	90	D3574.contig1_11	659	3.3e-13
Toprim_N	PF08275.11	128	D3574.contig1_11	659	7.9e-13
Toprim_N	PF08275.11	128	D3574.contig1_11	659	7.9e-13
Toprim_4	PF13662.6	89	D3574.contig1_11	659	1.3e-06
ATPase	PF06745.13	231	D3574.contig1_11	659	3.4e-05
Toprim_3	PF13362.6	95	D3574.contig1_11	659	0.00011
AAA_25	PF13481.6	194	D3574.contig1_11	659	0.00042
FliD_C	PF07195.12	240	D3574.contig1_17	107	0.012
EF-G-binding_N	PF07299.11	83	D3574.contig1_21	144	0.0035
DUF4181	PF13789.6	108	D3574.contig1_23	88	0.018
DUF5379	PF17350.2	90	D3574.contig1_23	88	0.021
RexA	PF15969.5	236	D3574.contig1_24	146	0.078
RNR_Alpha	PF17975.1	101	D3574.contig1_25	1089	4.5e-20
Ribonuc_red_lgC	PF02867.15	524	D3574.contig1_25	1089	3.4e-12
ATP-cone	PF03477.16	86	D3574.contig1_25	1089	2.6e-11
LAGLIDADG_3	PF14528.6	83	D3574.contig1_25	1089	4.3e-11
Intein_splicing	PF14890.6	134	D3574.contig1_25	1089	2e-05
Hom_end	PF05204.14	110	D3574.contig1_25	1089	7.2e-05
DUF2118	PF09891.9	151	D3574.contig1_26	101	0.049
Thy1	PF02511.15	188	D3574.contig1_27	221	1.5e-35
DUF2250	PF10007.9	93	D3574.contig1_27	221	0.014
DUF5325	PF17259.2	61	D3574.contig1_29	135	0.079
SSB	PF00436.25	104	D3574.contig1_34	97	1e-16
tRNA_anti-codon	PF01336.25	76	D3574.contig1_34	97	0.0055
dUTPase	PF00692.19	129	D3574.contig1_35	145	3.1e-19
Herpes_ORF11	PF04797.13	379	D3574.contig1_35	145	0.024
DUF1319	PF07028.11	109	D3574.contig1_36	172	0.044
DUF370	PF04025.12	73	D3574.contig1_38	139	4.2e-13
Peptidase_C58	PF03543.14	204	D3574.contig1_39	144	0.045
DUF2116	PF09889.9	59	D3574.contig1_42	105	0.0048
DUF1870	PF08965.10	118	D3574.contig1_46	66	0.074
TGT_C1	PF14809.6	70	D3574.contig1_47	64	0.077
DUF3145	PF11343.8	157	D3574.contig1_50	65	0.11
DUF4498	PF14926.6	246	D3574.contig1_51	57	0.0066
T4_tail_cap	PF11091.8	348	D3574.contig1_53	181	0.011
SNF2_N	PF00176.23	350	D3574.contig1_54	399	2.2e-34
Helicase_C	PF00271.31	111	D3574.contig1_54	399	1.7e-10
ResIII	PF04851.15	171	D3574.contig1_54	399	2.5e-07
DEAD	PF00270.29	176	D3574.contig1_54	399	6.1e-05
GATase_4	PF13230.6	272	D3574.contig1_55	377	0.0046
Amidoligase_2	PF12224.8	253	D3574.contig1_56	574	1.3e-05
DUF4899	PF16240.5	284	D3574.contig1_64	66	0.09
