superkingdom	baltimore	phylum	class	order	family	subfamily	genus	species	name	tax_id
Archaea		Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	NA	Natronomonas	NA	Natronomonas pharaonis	2257
Archaea		Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	NA	Halomicrobium	NA	Halomicrobium mukohataei	57705
Archaea		Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA	Halobacterium	NA	Halobacterium sp. DL1	751944
Archaea		Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA	Halobacterium	NA	Halobacterium hubeiense	1407499
Archaea		Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	NA	Halodesulfurarchaeum	NA	Halodesulfurarchaeum formicicum	1873524
Archaea		Euryarchaeota	NA	NA	NA	NA	NA	NA	Methanomicrobia	224756
Archaea		Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	NA	Methanoregula	NA	Methanoregula boonei	358766
Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	NA	Methanothrix	NA	Methanosaeta harundinacea	301375
Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	NA	Methanothrix	NA	Methanothrix soehngenii	2223
Archaea		Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	NA	Methanocella	NA	Methanocella arvoryzae	1175445
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus eurythermalis	1505907
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus celer	2264
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus pacificus	71998
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus siculi	72803
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus radiotolerans	187880
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus sp. 4557	1042877
Archaea		Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	NA	Geoglobus	NA	Geoglobus ahangari	113653
Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	NA	Thermoproteus	NA	Thermoproteus uzoniensis	184117
Archaea		Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	NA	Thermofilum	NA	Thermofilum pendens	2269
Archaea		Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	NA	Thermogladius	NA	Thermogladius calderae	1200300
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Actinoplanes phage phiAsp2	279303
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Smoothievirus	1982557
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Pclasvirinae	Phayoncevirus	NA	Mycobacterium virus Phayonce	1983742
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	Bcep78virus	NA	Burkholderia virus BcepNY3	446807
Viruses	ssDNA viruses	NA	NA	NA	Circoviridae	NA	Cyclovirus	NA	Human cyclovirus	1455626
Bacteria		Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	NA	Rhodococcus	NA	Rhodococcus sp. H-CA8f	1727214
Bacteria		Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	NA	Spiroplasma	NA	Spiroplasma culicicola	216935
Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	Capnocytophaga	NA	Capnocytophaga sp. H2931	1945657
Bacteria		Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	NA	Francisella	NA	Francisella sp. MA067296	475375
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	Msw3virus	NA	Edwardsiella virus PEi21	1980942
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	NA	NA	NA	NA	Salmonella phage BP63	1543205
Viruses	ssRNA positive-strand viruses, no DNA stage	NA	NA	NA	Astroviridae	NA	NA	NA	Mamastrovirus	249588
Viruses	ssRNA positive-strand viruses, no DNA stage	NA	NA	NA	Astroviridae	NA	Mamastrovirus	NA	Feline astrovirus 2	1389204
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Podoviridae	Sepvirinae	Nona33virus	NA	Stx2-converting phage 86	379329
Archaea		Euryarchaeota	NA	NA	NA	NA	Aciduliprofundum	NA	Aciduliprofundum boonei	379547
Bacteria		Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA	NA	Amoebophilaceae	1501348
Bacteria		Bacteroidetes	Saprospiria	NA	NA	NA	NA	NA	Saprospirales	1936988
Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	Streptococcus	NA	Streptococcus sp. 'group B'	1319
Bacteria		Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	Sporosarcina	NA	Sporosarcina sp. P33	1930764
Bacteria		Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA	NA	NA	Halioglobus	1217416
Bacteria		Planctomycetes	NA	NA	NA	NA	NA	NA	Planctomycetia	203683
Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	NA	NA	NA	Algoriphagus	246875
Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	NA	Bartonella	NA	Bartonella clarridgeiae	56426
Bacteria		Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	Ehrlichia	NA	Ehrlichia sp. HF	391036
Bacteria		Cyanobacteria	NA	Nostocales	Nostocaceae	NA	Nostoc	NA	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	1261031
Bacteria		Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	NA	Raphidiopsis	NA	Raphidiopsis curvata	312883
Bacteria		Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	NA	Chlamydia	NA	Chlamydia pneumoniae	83558
Bacteria		Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	NA	Sulfurihydrogenibium	NA	Sulfurihydrogenibium azorense	309806
Bacteria		Cyanobacteria	NA	Synechococcales	Synechococcaceae	NA	Synechococcus	NA	Synechococcus sp. PCC 73109	374982
Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	NA	Colwellia	NA	Colwellia beringensis	1967665
Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	NA	Sulfurospirillum	NA	Sulfurospirillum halorespirans	194424
Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA	Methanosarcina	NA	Methanosarcina sp. WWM596	1434103
Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA	Methanosarcina	NA	Methanosarcina sp. WH1	1434102
Archaea		Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	NA	Methanocella	NA	Methanocella conradii	1175444
Archaea		Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	NA	Methanococcus	NA	Methanococcus vannielii	2187
Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	Methanobacterium	NA	Methanobacterium subterraneum	59277
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus piezophilus	1712654
Archaea		Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	NA	Candidatus Methanoplasma	NA	Candidatus Methanoplasma termitum	1577791
Archaea		Crenarchaeota	NA	NA	NA	NA	NA	NA	Thermoprotei	183924
Archaea		Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	NA	Metallosphaera	NA	Metallosphaera sedula	43687
Archaea		Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	NA	Caldisphaera	NA	Caldisphaera lagunensis	200415
Archaea		Thaumarchaeota	Nitrososphaeria	Candidatus Nitrosocaldales	Candidatus Nitrosocaldaceae	NA	Candidatus Nitrosocaldus	NA	Candidatus Nitrosocaldus islandicus	2045011
Viruses		NA	NA	Ortervirales	Retroviridae	Orthoretrovirinae	Gammaretrovirus	NA	Moloney murine sarcoma virus	11809
Viruses		NA	NA	Ortervirales	Retroviridae	Orthoretrovirinae	Gammaretrovirus	NA	Gibbon ape leukemia virus	11840
Bacteria		Cyanobacteria	NA	Chroococcales	Microcystaceae	NA	Microcystis	NA	Microcystis aeruginosa	1126
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	Agrican357virus	NA	Erwinia virus Ea35-70	1984778
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Pa6virus	NA	Propionibacterium phage PHL070	1647424
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Pa6virus	NA	Propionibacterium virus MrAK	1982258
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Pa6virus	NA	Propionibacterium virus ATCC29399BC	1982252
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Pa6virus	NA	Propionibacterium virus PAS50	1982272
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Pa6virus	NA	Propionibacterium virus Stormborn	1982307
Bacteria		Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	NA	Thermoanaerobacter	NA	Thermoanaerobacter italicus	108150
Viruses	ssRNA positive-strand viruses, no DNA stage	NA	NA	Picornavirales	Picornaviridae	NA	Hunnivirus	NA	Hunnivirus A	1431460
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Enterococcus phage vB_EfaS_IME196	1747289
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Podoviridae	Autographivirinae	NA	NA	Enterobacteria phage J8-65	1536597
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Shigella	NA	Shigella sp. LN126	1072659
Bacteria		Cyanobacteria	NA	Nostocales	Nostocaceae	NA	Nostoc	NA	Nostoc sp. PCC 7524	28072
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Bacteroides phage B40-8	99179
Bacteria		Cyanobacteria	NA	Synechococcales	Merismopediaceae	NA	Synechocystis	NA	Synechocystis sp. PCC 6714	1147
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Guernseyvirinae	Jerseyvirus	NA	Salmonella virus SETP3	2005700
Bacteria		Proteobacteria	NA	NA	NA	NA	NA	NA	Pseudomonas sp. ADP	47660
Bacteria		Actinobacteria	Actinobacteria	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	NA	Candidatus Planktophila	NA	Candidatus Planktophila vernalis	1884907
Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	Dokdonia	NA	Dokdonia sp. PRO95	1239415
Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	NA	Colwellia	NA	Colwellia sp. Arc7-D	2161872
Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	NA	Campylobacter	NA	Campylobacter subantarcticus	497724
Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	Capnocytophaga	NA	Capnocytophaga sp. H4358	1945658
Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	Dokdonia	NA	Dokdonia sp. Dokd-P16	2173169
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Sfi11virus	NA	Streptococcus virus Sfi11	78541
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Phietavirus	NA	Staphylococcus virus 187	55511
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Phietavirus	NA	Staphylococcus phage 3MRA	1505026
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Biseptimavirus	NA	Staphylococcus virus 77	259901
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Biseptimavirus	NA	Staphylococcus phage phiPVL-CN125	648017
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Peduovirinae	Hp1virus	NA	Aeromonas virus phiO18P	393598
Bacteria		Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	NA	Legionellales	118969
Bacteria		Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	Anaplasma	NA	Anaplasma marginale	770
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Raoultella	NA	Raoultella sp. X13	2259647
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Nymbaxtervirinae	Nymphadoravirus	Gorrdonia virus Nymphadora	Gordonia phage Nymphadora	1821558
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Tunavirinae	Tlsvirus	NA	Escherichia virus TLS	245685
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	NA	NA	NA	NA	Podoviridae	10744
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Podoviridae	NA	P22virus	NA	Salmonella virus ST64T	173443
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Podoviridae	NA	G7cvirus	NA	Escherichia virus IME11	1920759
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Podoviridae	NA	NA	NA	Luz24virus	545932
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus xiamenensis	1178537
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Lysinibacillus	NA	Lysinibacillus varians	1145276
Bacteria		Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	NA	Fervidobacterium	NA	Fervidobacterium pennivorans	93466
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	NA	Escherichia phage Lw1	1307804
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	NA	Citrobacter phage IME-CF2	1673887
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	NA	Citrobacter phage Miller	1527524
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	NA	Citrobacter phage vB_CfrM_CfP1	1871313
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Tevenvirinae	NA	NA	Acinetobacter phage Acj61	760732
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	NA	Escherichia virus RB43	115991
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Mudcatvirus	NA	Arthrobacter virus Mudcat	1982090
Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	NA	Staphylococcus	NA	Staphylococcus sp. CDC3	678601
Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	NA	Herminiimonas	303379
Bacteria		Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	NA	Ehrlichia	NA	Ehrlichia chaffeensis	945
Bacteria		Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	Rickettsia	NA	Rickettsia prowazekii	782
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus altitudinis	293387
Archaea		Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	Methanosphaera	NA	Methanosphaera stadtmanae	2317
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Lactobacillus phage iLp84	1739610
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	L5virus	NA	Mycobacterium phage Phantastic	1486426
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	Phikzvirus	NA	Pseudomonas virus phiKZ	169683
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	NA	NA	Shigella phage SfII	66284
Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA	NA	NA	Methanohalophilus	2175
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Streptomyces phage SF1	1690817
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Bacteroides phage B124-14	1105171
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Bacillus phage vB_BhaS-171	1775140
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Tunavirinae	NA	NA	T1virus	187217
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Pepy6virus	NA	Rhodococcus virus Pepy6	1982368
Archaea		Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA	Methanohalophilus	NA	Methanohalophilus halophilus	2177
Bacteria		Cyanobacteria	NA	Nostocales	Rivulariaceae	NA	Microchaete	NA	Microchaete diplosiphon	1197
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Mycobacterium phage Dori	1089121
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Peduovirinae	P2virus	NA	Enterobacteria phage P88	1567486
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	Muvirus	NA	Shigella virus SfMu	1980943
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	NA	Muvirus	NA	Escherichia phage D108	665033
Bacteria		Cyanobacteria	NA	Nostocales	Nostocaceae	NA	NA	NA	Anabaena	1163
Bacteria		Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	NA	Thermosipho	NA	Thermosipho melanesiensis	46541
Bacteria		Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	Streptomyces	NA	Streptomyces sp. FR1	349971
Bacteria		Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	NA	NA	NA	alpha proteobacterium HIMB5	859653
Archaea		Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	NA	Thermococcus	NA	Thermococcus litoralis	2265
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Mccleskeyvirinae	Lmd1virus	Leuconostoc virus P793	Leuconostoc phage P793	1262522
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Mccleskeyvirinae	Lmd1virus	Leuconostoc virus LN6B	Leuconostoc phage phiLN6B	1262520
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Mccleskeyvirinae	Lmd1virus	Leuconostoc virus Lmd1	Leuconostoc phage Lmd1	1161930
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Mccleskeyvirinae	Lmd1virus	Leuconostoc virus LN04	Leuconostoc phage phiLN04	1262516
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Lactobacillus phage phig1e	52979
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Mccleskeyvirinae	Lmd1virus	Leuconostoc virus LN12	Leuconostoc phage phiLN12	1262517
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Gordonia phage GRU3	1647473
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Gordonia phage GTE2	981323
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	Mccleskeyvirinae	Una4virus	NA	Leuconostoc phage phiLNTR2	1262523
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Gordonia phage Nyceirae	1887651
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	NA	NA	Brucella phage BiPBO1	1718278
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Siphoviridae	NA	Phietavirus	NA	Staphylococcus phage CNPx	1792269
Viruses	dsDNA viruses, no RNA stage	NA	NA	Caudovirales	Myoviridae	Vequintavirinae	Se1virus	NA	Escherichia virus 4MG	1914894
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus sp. BS-01	745376
