target	acc	tlen	query	qlen	evalue
Ead_Ea22	PF13935.6	139	D3451.contig1_4	149	5.1e-14
HTH_24	PF13412.6	48	D3451.contig1_7	95	1.1e-05
DUF1495	PF07381.11	90	D3451.contig1_7	95	4.1e-05
PheRS_DBD1	PF18552.1	59	D3451.contig1_7	95	6.3e-05
MarR_2	PF12802.7	62	D3451.contig1_7	95	0.00017
MarR	PF01047.22	59	D3451.contig1_7	95	0.0011
HTH_Crp_2	PF13545.6	68	D3451.contig1_7	95	0.0041
HTH_34	PF13601.6	80	D3451.contig1_7	95	0.0083
DnaB_C	PF03796.15	255	D3451.contig1_8	478	2.2e-58
DnaB	PF00772.21	103	D3451.contig1_8	478	5.4e-32
AAA_25	PF13481.6	194	D3451.contig1_8	478	8.3e-11
ATPase	PF06745.13	231	D3451.contig1_8	478	5.6e-06
Phage_rep_org_N	PF09681.10	121	D3451.contig1_9	300	0.002
DUF2740	PF10872.8	48	D3451.contig1_10	49	0.00067
SpoIIID	PF12116.8	82	D3451.contig1_10	49	0.0054
RST	PF12174.8	67	D3451.contig1_10	49	0.023
YdaT_toxin	PF06254.11	88	D3451.contig1_11	189	0.00034
YdaS_antitoxin	PF15943.5	65	D3451.contig1_12	76	4.6e-23
HTH_3	PF01381.22	55	D3451.contig1_12	76	1.5e-06
P22_Cro	PF14549.6	60	D3451.contig1_12	76	2.4e-06
HTH_37	PF13744.6	80	D3451.contig1_12	76	0.00031
HTH_31	PF13560.6	64	D3451.contig1_12	76	0.00036
HTH_23	PF13384.6	50	D3451.contig1_12	76	0.0038
Phage_CI_repr	PF07022.13	65	D3451.contig1_12	76	0.0052
HTH_3	PF01381.22	55	D3451.contig1_13	235	2e-10
HTH_31	PF13560.6	64	D3451.contig1_13	235	1.3e-06
Peptidase_S24	PF00717.23	70	D3451.contig1_13	235	2.5e-06
HTH_26	PF13443.6	63	D3451.contig1_13	235	3.5e-05
HTH_24	PF13412.6	48	D3451.contig1_13	235	9.7e-05
YdaS_antitoxin	PF15943.5	65	D3451.contig1_13	235	0.00025
HTH_19	PF12844.7	65	D3451.contig1_13	235	0.00034
HTH_37	PF13744.6	80	D3451.contig1_13	235	0.0011
Phage_CI_repr	PF07022.13	65	D3451.contig1_13	235	0.0012
TbpB_C	PF17483.2	99	D3451.contig1_15	83	0.092
