target	acc	tlen	query	qlen	evalue
Peptidase_M1	PF01433.20	218	D3330.contig1_1	835	3.4e-30
HEAT_2	PF13646.6	88	D3330.contig1_1	835	4.1e-06
DUF3458	PF11940.8	95	D3330.contig1_1	835	0.014
LCM	PF04072.14	188	D3330.contig1_4	147	7.3e-08
Sin3a_C	PF16879.5	286	D3330.contig1_7	1080	5.8e-38
Sin3_corepress	PF08295.12	98	D3330.contig1_7	1080	5.1e-32
PAH	PF02671.21	45	D3330.contig1_7	1080	7.5e-27
PAH	PF02671.21	45	D3330.contig1_7	1080	7.5e-27
PAH	PF02671.21	45	D3330.contig1_7	1080	7.5e-27
FA_hydroxylase	PF04116.13	133	D3330.contig1_9	357	1e-12
FA_hydroxylase	PF04116.13	133	D3330.contig1_10	98	2.3e-10
Turandot	PF07240.11	81	D3330.contig1_13	58	0.12
CENP-K	PF11802.8	264	D3330.contig1_14	147	0.0001
TarH	PF02203.15	177	D3330.contig1_14	147	0.0062
PDZ_3	PF17815.1	145	D3330.contig1_15	93	0.12
zf-RING_2	PF13639.6	44	D3330.contig1_16	344	4.1e-11
zf-RING_11	PF17123.5	29	D3330.contig1_16	344	7.5e-10
zf-rbx1	PF12678.7	55	D3330.contig1_16	344	6.4e-09
zf-C3HC4_2	PF13923.6	40	D3330.contig1_16	344	9.7e-09
zf-C3HC4	PF00097.25	41	D3330.contig1_16	344	6.8e-08
Zn_ribbon_17	PF17120.5	58	D3330.contig1_16	344	3e-05
zf-ANAPC11	PF12861.7	85	D3330.contig1_16	344	6.9e-05
zf-RING_5	PF14634.6	44	D3330.contig1_16	344	0.00024
zf-C3HC4_3	PF13920.6	50	D3330.contig1_16	344	0.00084
zf-RING_UBOX	PF13445.6	39	D3330.contig1_16	344	0.0014
FANCL_C	PF11793.8	70	D3330.contig1_16	344	0.002
zf-Nse	PF11789.8	57	D3330.contig1_16	344	0.0029
SRF-TF	PF00319.18	48	D3330.contig1_17	518	6.7e-16
mRNA_cap_enzyme	PF01331.19	195	D3330.contig1_20	873	1.8e-35
mRNA_cap_C	PF03919.15	108	D3330.contig1_20	873	2.5e-11
Exo_endo_phos	PF03372.23	233	D3330.contig1_22	557	0.012
OrfB_Zn_ribbon	PF07282.11	69	D3330.contig1_26	183	1.9e-05
zf-TFIIIC	PF12660.7	101	D3330.contig1_26	183	0.03
zf-CSL	PF05207.13	59	D3330.contig1_27	172	6.1e-11
ACPS	PF01648.20	114	D3330.contig1_29	109	1.8e-11
4PPT_N	PF17837.1	68	D3330.contig1_29	109	9.8e-07
UBX	PF00789.20	81	D3330.contig1_32	486	3e-06
TUG-UBL1	PF11470.8	65	D3330.contig1_33	115	7.8e-19
RBD	PF02196.15	69	D3330.contig1_33	115	0.044
Ank_4	PF13637.6	55	D3330.contig1_34	354	2.8e-10
Ank_4	PF13637.6	55	D3330.contig1_34	354	2.8e-10
Ank_2	PF12796.7	83	D3330.contig1_34	354	7.4e-09
Ank_2	PF12796.7	83	D3330.contig1_34	354	7.4e-09
UQ_con	PF00179.26	140	D3330.contig1_35	126	3e-19
Polyketide_cyc2	PF10604.9	143	D3330.contig1_36	144	6.3e-13
Polyketide_cyc	PF03364.20	130	D3330.contig1_36	144	4e-05
Rap_GAP	PF02145.15	186	D3330.contig1_39	1103	4.1e-41
Rap_GAP	PF02145.15	186	D3330.contig1_39	1103	4.1e-41
EamA	PF00892.20	137	D3330.contig1_40	430	4.8e-28
EamA	PF00892.20	137	D3330.contig1_40	430	4.8e-28
Nucleoside_tran	PF01733.18	309	D3330.contig1_42	351	2.4e-39
FAM163	PF15069.6	163	D3330.contig1_42	351	0.0037
Response_reg	PF00072.24	112	D3330.contig1_44	942	1.6e-53
Response_reg	PF00072.24	112	D3330.contig1_44	942	1.6e-53
Response_reg	PF00072.24	112	D3330.contig1_44	942	1.6e-53
HATPase_c	PF02518.26	112	D3330.contig1_44	942	2.9e-29
HisKA	PF00512.25	67	D3330.contig1_44	942	7.6e-19
OmpH	PF03938.14	138	D3330.contig2_1	143	1.1e-25
POTRA	PF07244.15	80	D3330.contig2_2	851	1.4e-42
POTRA	PF07244.15	80	D3330.contig2_2	851	1.4e-42
POTRA	PF07244.15	80	D3330.contig2_2	851	1.4e-42
POTRA	PF07244.15	80	D3330.contig2_2	851	1.4e-42
POTRA	PF07244.15	80	D3330.contig2_2	851	1.4e-42
Prenyltransf	PF01255.19	224	D3330.contig2_3	247	4.4e-79
CdiI	PF07262.11	156	D3330.contig2_3	247	0.0063
ExbD	PF02472.16	130	D3330.contig2_4	187	8.9e-19
