target	acc	tlen	query	qlen	evalue
Bac_luciferase	PF00296.20	314	D3650.contig1_1	363	2.6e-76
BPD_transp_1	PF00528.22	185	D3650.contig1_2	288	1.7e-25
ABC_tran	PF00005.27	137	D3650.contig1_3	256	7.9e-26
AAA_21	PF13304.6	303	D3650.contig1_3	256	4.3e-06
AAA_22	PF13401.6	137	D3650.contig1_3	256	4.4e-06
AAA_33	PF13671.6	143	D3650.contig1_3	256	0.00071
AAA_16	PF13191.6	170	D3650.contig1_3	256	0.0013
AAA_29	PF13555.6	61	D3650.contig1_3	256	0.0015
NMT1	PF09084.11	216	D3650.contig1_4	330	8.8e-14
NMT1_2	PF13379.6	253	D3650.contig1_4	330	7.4e-11
Phosphonate-bd	PF12974.7	243	D3650.contig1_4	330	3.4e-08
NMT1_3	PF16868.5	289	D3650.contig1_4	330	2.1e-05
SBP_bac_3	PF00497.20	225	D3650.contig1_4	330	0.00024
OpuAC	PF04069.12	257	D3650.contig1_4	330	0.0012
PAP2	PF01569.21	136	D3650.contig1_5	208	0.0026
CitMHS_2	PF16980.5	448	D3650.contig1_7	103	0.053
NusG	PF02357.19	95	D3650.contig1_8	170	1.3e-20
LMWPc	PF01451.21	142	D3650.contig1_9	147	3.3e-37
GNVR	PF13807.6	82	D3650.contig1_10	743	1.4e-31
Wzz	PF02706.15	92	D3650.contig1_10	743	2.1e-20
AAA_31	PF13614.6	177	D3650.contig1_10	743	2.3e-16
CbiA	PF01656.23	128	D3650.contig1_10	743	3e-09
ParA	PF10609.9	246	D3650.contig1_10	743	4.5e-06
MipZ	PF09140.11	262	D3650.contig1_10	743	8.6e-05
CBP_BcsQ	PF06564.12	234	D3650.contig1_10	743	0.0013
Wzy_C	PF04932.15	155	D3650.contig1_11	445	0.00057
Polysacc_synt	PF01943.17	274	D3650.contig1_12	487	1.5e-09
Polysacc_synt_C	PF14667.6	143	D3650.contig1_12	487	0.0046
PS_pyruv_trans	PF04230.13	286	D3650.contig1_13	384	1.7e-26
Polysacc_lyase	PF14099.6	210	D3650.contig1_14	282	0.033
Hexapep	PF00132.24	36	D3650.contig1_15	181	8.2e-13
Hexapep_2	PF14602.6	34	D3650.contig1_15	181	1.6e-11
Hexapep_2	PF14602.6	34	D3650.contig1_15	181	1.6e-11
Ring_hydroxyl_A	PF00848.19	214	D3650.contig1_15	181	0.034
Glyco_trans_1_4	PF13692.6	134	D3650.contig1_16	325	2.9e-05
Glycos_transf_1	PF00534.20	172	D3650.contig1_16	325	0.002
Glyco_trans_4_4	PF13579.6	160	D3650.contig1_16	325	0.0032
Alg14	PF08660.11	175	D3650.contig1_17	152	2.3e-11
Glyco_tran_28_C	PF04101.16	167	D3650.contig1_18	159	3.3e-08
Glyco_trans_1_3	PF13528.6	321	D3650.contig1_18	159	0.022
MannoseP_isomer	PF01050.18	151	D3650.contig1_19	476	1.3e-71
NTP_transferase	PF00483.23	248	D3650.contig1_19	476	5.4e-64
Cupin_2	PF07883.11	71	D3650.contig1_19	476	1.2e-10
NTP_transf_3	PF12804.7	160	D3650.contig1_19	476	1.1e-06
AraC_binding	PF02311.19	136	D3650.contig1_19	476	0.0062
UDPG_MGDP_dh_N	PF03721.14	187	D3650.contig1_20	448	5.8e-63
UDPG_MGDP_dh	PF00984.19	94	D3650.contig1_20	448	1.7e-38
UDPG_MGDP_dh_C	PF03720.15	105	D3650.contig1_20	448	4.4e-30
3HCDH_N	PF02737.18	180	D3650.contig1_20	448	8.5e-05
FAD_binding_3	PF01494.19	349	D3650.contig1_20	448	0.0045
Poly_export	PF02563.16	82	D3650.contig1_22	341	1.5e-24
Wza_C	PF18412.1	30	D3650.contig1_22	341	6e-10
SLBB	PF10531.9	58	D3650.contig1_22	341	5.6e-06
YjbF	PF11102.8	188	D3650.contig1_23	221	7.2e-36
Caps_synth_GfcC	PF06251.11	228	D3650.contig1_24	256	1e-32
SLBB	PF10531.9	58	D3650.contig1_24	256	1.1e-07
YjbH	PF06082.11	660	D3650.contig1_25	697	1.6e-243
Bac_transf	PF02397.16	184	D3650.contig1_26	465	2.1e-64
CoA_binding_3	PF13727.6	175	D3650.contig1_26	465	1e-13
Trans_reg_C	PF00486.28	77	D3650.contig1_27	242	2.7e-09
NA37	PF04245.13	309	D3650.contig1_27	242	0.031
EAL	PF00563.20	238	D3650.contig1_28	252	1.7e-05
Trans_reg_C	PF00486.28	77	D3650.contig1_29	243	7.5e-08
HTH_18	PF12833.7	81	D3650.contig1_30	284	6.8e-18
AraC_binding	PF02311.19	136	D3650.contig1_30	284	4.9e-08
Cupin_2	PF07883.11	71	D3650.contig1_30	284	0.00072
Peripla_BP_3	PF13377.6	166	D3650.contig1_32	332	8.9e-46
Peripla_BP_1	PF00532.21	279	D3650.contig1_32	332	1.1e-34
LacI	PF00356.21	46	D3650.contig1_32	332	9.1e-18
Peripla_BP_4	PF13407.6	258	D3650.contig1_32	332	8.2e-13
GFO_IDH_MocA	PF01408.22	120	D3650.contig1_33	386	8.2e-17
GFO_IDH_MocA_C	PF02894.17	116	D3650.contig1_33	386	0.0001
AP_endonuc_2	PF01261.24	210	D3650.contig1_34	351	3.8e-38
AP_endonuc_2_N	PF07582.12	56	D3650.contig1_34	351	2.3e-22
Nuc_H_symport	PF03825.16	400	D3650.contig1_35	409	1.4e-122
MFS_1_like	PF12832.7	385	D3650.contig1_35	409	2e-28
MFS_1	PF07690.16	353	D3650.contig1_35	409	7.8e-19
MFS_1	PF07690.16	353	D3650.contig1_35	409	7.8e-19
LacY_symp	PF01306.19	413	D3650.contig1_35	409	3.9e-11
DUF2199	PF09965.9	146	D3650.contig1_36	162	7.3e-36
Glutaminase	PF04960.15	286	D3650.contig1_37	308	1.9e-110
Peptidase_M24	PF00557.24	209	D3650.contig1_40	229	2.4e-17
DAO	PF01266.24	352	D3650.contig1_41	422	7.1e-58
HI0933_like	PF03486.14	409	D3650.contig1_41	422	5e-10
NAD_binding_9	PF13454.6	156	D3650.contig1_41	422	2.3e-08
FAD_binding_2	PF00890.24	417	D3650.contig1_41	422	1.8e-07
FAD_binding_3	PF01494.19	349	D3650.contig1_41	422	5.6e-07
Pyr_redox_2	PF07992.14	294	D3650.contig1_41	422	1.1e-06
Thi4	PF01946.17	235	D3650.contig1_41	422	4.9e-06
NAD_binding_8	PF13450.6	68	D3650.contig1_41	422	1.1e-05
UDPG_MGDP_dh_N	PF03721.14	187	D3650.contig1_41	422	0.0012
Lycopene_cycl	PF05834.12	380	D3650.contig1_41	422	0.0013
ABC_tran	PF00005.27	137	D3650.contig1_42	251	5.2e-35
AAA_21	PF13304.6	303	D3650.contig1_42	251	1.3e-11
AAA_21	PF13304.6	303	D3650.contig1_42	251	1.3e-11
SMC_N	PF02463.19	220	D3650.contig1_42	251	1.4e-08
AAA_16	PF13191.6	170	D3650.contig1_42	251	1.3e-05
AAA_29	PF13555.6	61	D3650.contig1_42	251	2.7e-05
RsgA_GTPase	PF03193.16	167	D3650.contig1_42	251	0.00031
AAA_23	PF13476.6	200	D3650.contig1_42	251	0.00046
AAA_30	PF13604.6	192	D3650.contig1_42	251	0.0012
BPD_transp_1	PF00528.22	185	D3650.contig1_43	223	2.8e-17
SBP_bac_3	PF00497.20	225	D3650.contig1_44	261	6.9e-56
Lig_chan-Glu_bd	PF10613.9	115	D3650.contig1_44	261	3.1e-05
IclR	PF01614.18	129	D3650.contig1_45	260	1.3e-32
HTH_IclR	PF09339.10	52	D3650.contig1_45	260	2.2e-16
HTH_27	PF13463.6	68	D3650.contig1_45	260	0.0012
MarR_2	PF12802.7	62	D3650.contig1_45	260	0.0017
HTH_24	PF13412.6	48	D3650.contig1_45	260	0.0036
Sacchrp_dh_NADP	PF03435.18	130	D3650.contig1_46	400	1.7e-25
Sacchrp_dh_C	PF16653.5	265	D3650.contig1_46	400	5.1e-23
Orn_DAP_Arg_deC	PF00278.22	98	D3650.contig1_47	205	2.6e-07
DUF559	PF04480.12	109	D3650.contig2_1	212	0.054
DNA_circ_N	PF07157.12	88	D3650.contig2_2	459	1.8e-27
PhageMin_Tail	PF10145.9	198	D3650.contig2_3	757	5.1e-22
SHOCT	PF09851.9	28	D3650.contig2_3	757	0.00018
MatB	PF16449.5	167	D3650.contig2_3	757	0.034
Tail_tube	PF10618.9	117	D3650.contig2_5	123	7e-07
Phage_sheath_1	PF04984.14	168	D3650.contig2_6	470	2.4e-20
Phage_sheath_1C	PF17482.2	104	D3650.contig2_6	470	1.8e-15
Phage_sheath_1N	PF17481.2	104	D3650.contig2_6	470	0.00033
DUF2635	PF10948.8	46	D3650.contig2_7	59	2.5e-11
DUF4265	PF14085.6	116	D3650.contig2_7	59	0.012
DUF1834	PF08873.11	204	D3650.contig2_8	215	6.2e-53
DUF1320	PF07030.12	126	D3650.contig2_9	141	1e-33
FluMu_N	PF17891.1	49	D3650.contig2_10	114	0.012
Mu-like_gpT	PF10124.9	289	D3650.contig2_11	307	2e-112
Mu-like_Pro	PF10123.9	325	D3650.contig2_12	352	7.2e-101
Phage_tail_S	PF05069.13	148	D3650.contig2_13	162	3e-21
Phage_Mu_F	PF04233.14	112	D3650.contig2_14	426	1.9e-28
PBECR3	PF18812.1	115	D3650.contig2_14	426	2.1e-17
DUF935	PF06074.12	520	D3650.contig2_15	540	5.1e-187
