start	end	protein_name	ymax	ymin
355549	355580	Attachment site	1	0.2
355639	356781	Integrase	-1	-0.2
356877	357473	Hypothetical protein	-1	-0.2
357565	357927	Hypothetical protein	-1	-0.2
357987	358298	Hypothetical protein	-1	-0.2
358589	358780	Hypothetical protein	1	0.2
358791	359024	Hypothetical protein	1	0.2
359029	359223	Hypothetical protein	1	0.2
359435	359713	Hypothetical protein	-1	-0.2
359782	360693	Hypothetical protein	1	0.2
360714	361193	Hypothetical protein	1	0.2
361256	361384	Phage-like protein	1	0.2
361414	362031	Hypothetical protein	-1	-0.2
362062	362217	Hypothetical protein	1	0.2
362429	362512	Hypothetical protein	-1	-0.2
362634	362891	Hypothetical protein	1	0.2
362965	363300	Hypothetical protein	1	0.2
363324	363977	Phage-like protein	1	0.2
363983	364660	Hypothetical protein	1	0.2
364665	365486	Phage-like protein	1	0.2
365494	365772	Hypothetical protein	1	0.2
365774	365956	Hypothetical protein	1	0.2
365982	366329	Hypothetical protein	1	0.2
366332	366586	Hypothetical protein	1	0.2
366685	366882	Hypothetical protein	1	0.2
367098	367565	Phage-like protein	1	0.2
367717	367956	Hypothetical protein	1	0.2
368031	368180	Hypothetical protein	1	0.2
368183	368425	Hypothetical protein	1	0.2
368482	368790	Hypothetical protein	-1	-0.2
368951	369136	Hypothetical protein	1	0.2
369138	369560	Hypothetical protein	1	0.2
369622	369738	Hypothetical protein	1	0.2
369741	369857	Hypothetical protein	1	0.2
369872	370285	Phage-like protein	1	0.2
370821	371003	Hypothetical protein	1	0.2
371043	372257	Hypothetical protein	1	0.2
372271	372474	Hypothetical protein	1	0.2
372476	372682	Hypothetical protein	1	0.2
372763	372975	Hypothetical protein	1	0.2
372986	373312	Hypothetical protein	1	0.2
373457	373930	Terminase	1	0.2
373934	374470	Hypothetical protein	-1	-0.2
374471	376213	Terminase	1	0.2
376223	376393	Hypothetical protein	1	0.2
376423	377673	Portal protein	1	0.2
377831	378229	Head protein	1	0.2
378252	379487	Head protein	1	0.2
379508	379624	Hypothetical protein	1	0.2
379625	379978	Head protein	1	0.2
380270	380635	Hypothetical protein	1	0.2
380650	381090	Head protein	1	0.2
381098	381622	Tail protein	1	0.2
381665	381997	Hypothetical protein	1	0.2
382030	382176	Hypothetical protein	1	0.2
382191	386279	Tail protein	1	0.2
386282	387757	Hypothetical protein	1	0.2
387781	390285	Tail protein	1	0.2
399630	399661	Attachment site	1	0.2
