start	end	protein_name	ymax	ymin
26933	26945	Attachment site	1	0.2
27568	27768	Phage-like protein	-1	-0.2
28605	29846	Phage-like protein	-1	-0.2
29847	29963	Phage-like protein	-1	-0.2
30073	30294	Hypothetical protein	-1	-0.2
30329	30484	Hypothetical protein	-1	-0.2
30486	30806	Hypothetical protein	-1	-0.2
30820	31311	Tail protein	-1	-0.2
31595	32170	Hypothetical protein	-1	-0.2
32184	33065	Phage-like protein	-1	-0.2
33084	35756	Tail protein	-1	-0.2
35873	36544	Tail protein	-1	-0.2
36597	39521	Hypothetical protein	-1	-0.2
39539	39616	Hypothetical protein	-1	-0.2
39742	40092	Hypothetical protein	-1	-0.2
40145	40993	Hypothetical protein	-1	-0.2
40994	41368	Hypothetical protein	-1	-0.2
41371	41748	Hypothetical protein	-1	-0.2
41762	42073	Head protein	-1	-0.2
42127	42471	Hypothetical protein	-1	-0.2
42485	42667	Hypothetical protein	-1	-0.2
42696	43583	Head protein	-1	-0.2
43597	44220	Hypothetical protein	-1	-0.2
44351	44434	Hypothetical protein	-1	-0.2
44439	44759	Hypothetical protein	-1	-0.2
44816	45046	Hypothetical protein	-1	-0.2
45047	46879	Head protein	-1	-0.2
46926	48413	Portal protein	-1	-0.2
48425	49543	Terminase	-1	-0.2
49686	50489	Terminase	-1	-0.2
50536	51252	Hypothetical protein	-1	-0.2
51345	51572	Hypothetical protein	-1	-0.2
52081	52173	Hypothetical protein	-1	-0.2
53578	53664	Hypothetical protein	-1	-0.2
53670	54086	Phage-like protein	-1	-0.2
54353	54439	Hypothetical protein	-1	-0.2
54454	54714	Hypothetical protein	-1	-0.2
54993	55427	Phage-like protein	-1	-0.2
55436	55735	Phage-like protein	-1	-0.2
55736	56038	Hypothetical protein	-1	-0.2
56042	57004	Phage-like protein	-1	-0.2
57018	57908	Phage-like protein	-1	-0.2
57911	58852	Phage-like protein	-1	-0.2
58950	59135	Hypothetical protein	-1	-0.2
59177	59500	Hypothetical protein	-1	-0.2
59544	59690	Hypothetical protein	-1	-0.2
59720	59914	Hypothetical protein	-1	-0.2
59967	60149	Hypothetical protein	1	0.2
60189	60911	Phage-like protein	-1	-0.2
60950	61267	Hypothetical protein	-1	-0.2
61273	61464	Hypothetical protein	-1	-0.2
61734	62099	Hypothetical protein	1	0.2
62104	62751	Hypothetical protein	1	0.2
62869	63633	Hypothetical protein	1	0.2
63648	63977	Hypothetical protein	1	0.2
63663	63675	Attachment site	1	0.2
64031	65200	Phage-like protein	1	0.2
