start	end	protein_name	ymax	ymin
70896	71417	Phage-like protein	1	0.2
71510	71536	Attachment site	1	0.2
71611	72615	Integrase	-1	-0.2
72814	73386	Hypothetical protein	-1	-0.2
73447	73647	Hypothetical protein	-1	-0.2
73689	74243	Hypothetical protein	-1	-0.2
74331	74804	Hypothetical protein	-1	-0.2
74821	75393	Phage-like protein	-1	-0.2
75552	75785	Phage-like protein	1	0.2
75867	76586	Phage-like protein	1	0.2
76602	76850	Phage-like protein	1	0.2
76872	77045	Hypothetical protein	1	0.2
77152	77307	Hypothetical protein	1	0.2
77364	77600	Hypothetical protein	1	0.2
77601	78278	Phage-like protein	1	0.2
78302	79201	Phage-like protein	1	0.2
79237	79878	Hypothetical protein	1	0.2
79883	80839	Phage-like protein	1	0.2
80843	81367	Hypothetical protein	1	0.2
81495	81722	Hypothetical protein	1	0.2
81779	82243	Phage-like protein	1	0.2
82245	82565	Phage-like protein	1	0.2
82586	82996	Hypothetical protein	1	0.2
83153	83758	Phage-like protein	1	0.2
83772	84257	Hypothetical protein	1	0.2
84258	84440	Hypothetical protein	1	0.2
84623	84823	Hypothetical protein	1	0.2
84968	85384	Lysis protein	1	0.2
85388	85513	Hypothetical protein	1	0.2
85609	85681	tRNA	1	0.2
85848	86297	Phage-like protein	1	0.2
86352	86873	Phage-like protein	1	0.2
87040	87468	Hypothetical protein	1	0.2
87605	87793	Hypothetical protein	1	0.2
87838	88758	Hypothetical protein	1	0.2
88806	89600	Terminase	1	0.2
89680	91047	Terminase	1	0.2
91052	92665	Portal protein	1	0.2
92671	93609	Phage-like protein	1	0.2
93610	93879	Hypothetical protein	1	0.2
93972	94250	Hypothetical protein	1	0.2
94380	95021	Phage-like protein	1	0.2
95034	95375	Hypothetical protein	1	0.2
95398	96411	Head protein	1	0.2
96485	96817	Hypothetical protein	1	0.2
96864	96995	Hypothetical protein	-1	-0.2
97124	97504	Phage-like protein	1	0.2
97588	97890	Phage-like protein	1	0.2
97906	98499	Tail protein	1	0.2
98515	98973	Tail protein	1	0.2
99028	99378	Hypothetical protein	1	0.2
99471	99728	Hypothetical protein	1	0.2
99741	101774	Phage-like protein	1	0.2
101795	102070	Phage-like protein	1	0.2
102103	103107	Phage-like protein	1	0.2
103108	104037	Tail protein	1	0.2
104054	106069	Phage-like protein	1	0.2
106070	106243	Hypothetical protein	1	0.2
106254	108017	Hypothetical protein	1	0.2
108091	108318	Hypothetical protein	1	0.2
108366	108518	Phage-like protein	1	0.2
108523	109782	Phage-like protein	1	0.2
109795	110175	Lysis protein	1	0.2
110264	111529	Phage-like protein	1	0.2
111593	113095	Hypothetical protein	-1	-0.2
113461	114042	Phage-like protein	-1	-0.2
114288	114314	Attachment site	1	0.2
114413	114793	Hypothetical protein	-1	-0.2
