start	end	protein_name	ymax	ymin
50113	51261	Terminase	-1	-0.2
51407	51940	Terminase	-1	-0.2
48557	50095	Portal protein	-1	-0.2
37717	38646	Tail protein	-1	-0.2
42826	43284	Tail protein	-1	-0.2
43362	43892	Tail protein	-1	-0.2
70275	70901	Tail protein	-1	-0.2
43908	44261	Head protein	-1	-0.2
44981	45313	Head protein	-1	-0.2
45387	46319	Head protein	-1	-0.2
47614	48552	Head protein	-1	-0.2
23705	25453	Phage-like protein	-1	-0.2
25471	27174	Phage-like protein	-1	-0.2
30123	30323	Phage-like protein	-1	-0.2
31158	32120	Phage-like protein	-1	-0.2
32430	33122	Phage-like protein	-1	-0.2
33247	33660	Phage-like protein	-1	-0.2
33734	35497	Phage-like protein	-1	-0.2
35682	37700	Phage-like protein	-1	-0.2
38647	42054	Phage-like protein	-1	-0.2
46332	46931	Phage-like protein	-1	-0.2
52800	53129	Phage-like protein	-1	-0.2
53624	55843	Phage-like protein	-1	-0.2
57190	57933	Phage-like protein	-1	-0.2
58306	59910	Phage-like protein	-1	-0.2
60677	61105	Phage-like protein	-1	-0.2
62765	63850	Phage-like protein	-1	-0.2
65839	66078	Phage-like protein	-1	-0.2
30477	30722	Hypothetical protein	-1	-0.2
35508	35681	Hypothetical protein	-1	-0.2
42070	42327	Hypothetical protein	-1	-0.2
42420	42770	Hypothetical protein	-1	-0.2
44294	44674	Hypothetical protein	-1	-0.2
44708	44932	Hypothetical protein	-1	-0.2
47044	47121	Hypothetical protein	-1	-0.2
47126	47248	Hypothetical protein	-1	-0.2
47344	47613	Hypothetical protein	-1	-0.2
52044	52433	Hypothetical protein	-1	-0.2
52570	52764	Hypothetical protein	-1	-0.2
53188	53379	Hypothetical protein	-1	-0.2
55852	56070	Hypothetical protein	-1	-0.2
56232	56690	Hypothetical protein	-1	-0.2
56702	57136	Hypothetical protein	-1	-0.2
57990	58157	Hypothetical protein	-1	-0.2
59923	60672	Hypothetical protein	-1	-0.2
61118	61702	Hypothetical protein	-1	-0.2
61715	62761	Hypothetical protein	-1	-0.2
64072	64779	Hypothetical protein	-1	-0.2
64885	65052	Hypothetical protein	-1	-0.2
65069	65272	Hypothetical protein	-1	-0.2
65409	65597	Hypothetical protein	-1	-0.2
65600	65821	Hypothetical protein	-1	-0.2
69747	70241	Hypothetical protein	-1	-0.2
32268	32341	tRNA	1	0.2
25721	25733	Attachment site	1	0.2
68190	68202	Attachment site	1	0.2
27427	27813	Hypothetical protein	1	0.2
27958	28095	Hypothetical protein	1	0.2
28118	28330	Hypothetical protein	1	0.2
30813	31061	Hypothetical protein	1	0.2
67334	67849	Hypothetical protein	1	0.2
67875	68075	Hypothetical protein	1	0.2
68141	68314	Hypothetical protein	1	0.2
28332	30017	Phage-like protein	1	0.2
66212	66736	Phage-like protein	1	0.2
66753	67226	Phage-like protein	1	0.2
68342	69736	Integrase	1	0.2
