start	end	protein_name	ymax	ymin
91308	91324	Attachment site	1	0.2
129301	129317	Attachment site	1	0.2
107661	108263	Head protein	1	0.2
108276	109199	Head protein	1	0.2
109492	109821	Head protein	1	0.2
110640	110858	Head protein	1	0.2
86894	87139	Hypothetical protein	-1	-0.2
87159	87518	Hypothetical protein	1	0.2
87641	89272	Hypothetical protein	1	0.2
89334	89975	Hypothetical protein	-1	-0.2
90257	90565	Hypothetical protein	1	0.2
90592	90936	Hypothetical protein	1	0.2
90949	91242	Hypothetical protein	1	0.2
92495	92806	Hypothetical protein	-1	-0.2
92859	93281	Hypothetical protein	-1	-0.2
93290	93637	Hypothetical protein	-1	-0.2
93971	94045	Hypothetical protein	1	0.2
94252	94668	Hypothetical protein	-1	-0.2
94745	94933	Hypothetical protein	1	0.2
95109	95330	Hypothetical protein	-1	-0.2
96163	96375	Hypothetical protein	1	0.2
96449	96637	Hypothetical protein	1	0.2
96658	96846	Hypothetical protein	1	0.2
96985	97113	Hypothetical protein	1	0.2
97169	97510	Hypothetical protein	1	0.2
98243	98929	Hypothetical protein	1	0.2
99691	99960	Hypothetical protein	1	0.2
99965	100129	Hypothetical protein	1	0.2
100140	100433	Hypothetical protein	1	0.2
100770	100886	Hypothetical protein	1	0.2
100951	101247	Hypothetical protein	1	0.2
102006	102524	Hypothetical protein	-1	-0.2
102560	102751	Hypothetical protein	-1	-0.2
102902	103075	Hypothetical protein	1	0.2
103083	103184	Hypothetical protein	-1	-0.2
103189	103299	Hypothetical protein	1	0.2
103885	105090	Hypothetical protein	1	0.2
106607	107533	Hypothetical protein	1	0.2
109280	109480	Hypothetical protein	1	0.2
109932	110144	Hypothetical protein	1	0.2
110167	110466	Hypothetical protein	1	0.2
111427	111771	Hypothetical protein	1	0.2
111843	112106	Hypothetical protein	1	0.2
112122	114146	Hypothetical protein	1	0.2
114158	114946	Hypothetical protein	1	0.2
114973	117789	Hypothetical protein	1	0.2
122527	122973	Hypothetical protein	1	0.2
122975	123103	Hypothetical protein	1	0.2
124613	125275	Hypothetical protein	-1	-0.2
126805	127338	Hypothetical protein	1	0.2
127394	127525	Hypothetical protein	-1	-0.2
128164	128466	Hypothetical protein	-1	-0.2
128559	129203	Hypothetical protein	-1	-0.2
91335	92483	Integrase	-1	-0.2
101324	101737	Lysis protein	1	0.2
85935	86618	Phage-like protein	1	0.2
95387	96160	Phage-like protein	1	0.2
97548	98237	Phage-like protein	1	0.2
98933	99679	Phage-like protein	1	0.2
100469	100732	Phage-like protein	1	0.2
117803	119548	Phage-like protein	1	0.2
123165	123578	Phage-like protein	1	0.2
123692	124552	Phage-like protein	1	0.2
125367	126755	Phage-like protein	1	0.2
105103	106602	Portal protein	1	0.2
110869	111381	Tail protein	1	0.2
119561	120319	Tail protein	1	0.2
120335	122515	Tail protein	1	0.2
103305	103859	Terminase	1	0.2
86927	87003	tRNA	1	0.2
127575	127649	tRNA	1	0.2
