start	end	protein_name	ymax	ymin
48691	49428	Phage-like protein	1	0.2
49497	49682	Hypothetical protein	-1	-0.2
49692	51449	Hypothetical protein	-1	-0.2
51459	52250	Fiber protein	-1	-0.2
52334	53089	Fiber protein	-1	-0.2
53092	53631	Hypothetical protein	-1	-0.2
53661	54737	Plate protein	-1	-0.2
55173	55649	Hypothetical protein	-1	-0.2
55703	56737	Phage-like protein	-1	-0.2
56787	57896	Phage-like protein	-1	-0.2
58043	59839	Tail protein	-1	-0.2
59938	60321	Phage-like protein	-1	-0.2
60325	60678	Tail protein	-1	-0.2
60688	62169	Tail protein	-1	-0.2
62171	62380	Hypothetical protein	-1	-0.2
62383	62931	Hypothetical protein	-1	-0.2
62991	63488	Phage-like protein	-1	-0.2
63533	63913	Hypothetical protein	-1	-0.2
63973	64479	Hypothetical protein	-1	-0.2
64556	65455	Head protein	-1	-0.2
65458	66429	Phage-like protein	-1	-0.2
66663	67376	Phage-like protein	-1	-0.2
67498	68988	Hypothetical protein	-1	-0.2
69069	70643	Portal protein	-1	-0.2
70655	71149	Hypothetical protein	-1	-0.2
71223	71498	Hypothetical protein	-1	-0.2
71501	71788	Hypothetical protein	-1	-0.2
71798	72049	Hypothetical protein	-1	-0.2
72081	72275	Phage-like protein	-1	-0.2
72308	72889	Hypothetical protein	-1	-0.2
72901	73308	Hypothetical protein	-1	-0.2
73310	73495	Hypothetical protein	1	0.2
73522	74100	Hypothetical protein	-1	-0.2
74204	74527	Hypothetical protein	-1	-0.2
74533	74925	Hypothetical protein	-1	-0.2
74928	75482	Hypothetical protein	-1	-0.2
75606	75677	Hypothetical protein	-1	-0.2
75928	76236	Hypothetical protein	-1	-0.2
76238	76726	Hypothetical protein	-1	-0.2
76807	77424	Hypothetical protein	-1	-0.2
77440	77727	Hypothetical protein	-1	-0.2
77730	77969	Phage-like protein	-1	-0.2
77974	78933	Phage-like protein	-1	-0.2
78958	81057	Transposase	-1	-0.2
81071	81340	Phage-like protein	-1	-0.2
81488	82084	Phage-like protein	1	0.2
