start	end	protein_name	ymax	ymin
31948	31962	Attachment site	1	0.2
32037	33218	Integrase	-1	-0.2
33340	34212	Hypothetical protein	-1	-0.2
34228	34875	Hypothetical protein	-1	-0.2
34880	35221	Phage-like protein	-1	-0.2
35515	35706	Hypothetical protein	1	0.2
35719	35988	Hypothetical protein	1	0.2
36025	36225	Hypothetical protein	1	0.2
36424	36618	Hypothetical protein	1	0.2
36729	37421	Hypothetical protein	1	0.2
37453	37629	Hypothetical protein	1	0.2
37713	37919	Phage-like protein	1	0.2
37969	39123	Phage-like protein	1	0.2
39191	39355	Hypothetical protein	1	0.2
39538	39804	Hypothetical protein	-1	-0.2
39848	40759	Phage-like protein	1	0.2
40761	40979	Hypothetical protein	1	0.2
41051	41893	Hypothetical protein	1	0.2
41944	42456	Hypothetical protein	1	0.2
42481	43290	Fiber protein	1	0.2
43292	43420	Hypothetical protein	1	0.2
43436	44998	Phage-like protein	1	0.2
45071	46870	Phage-like protein	1	0.2
47180	47599	Hypothetical protein	1	0.2
47757	48158	Hypothetical protein	1	0.2
48222	48401	Hypothetical protein	1	0.2
48422	48532	Phage-like protein	1	0.2
48643	49095	Terminase	1	0.2
49248	50819	Terminase	1	0.2
50838	52064	Portal protein	1	0.2
52132	52608	Head protein	1	0.2
52621	53985	Head protein	1	0.2
54056	54268	Hypothetical protein	1	0.2
54562	54894	Hypothetical protein	1	0.2
54908	55240	Hypothetical protein	1	0.2
55279	55890	Tail protein	1	0.2
55968	56318	Hypothetical protein	1	0.2
56351	56512	Hypothetical protein	1	0.2
56528	58882	Tail protein	1	0.2
58888	59592	Tail protein	1	0.2
59649	62387	Phage-like protein	1	0.2
62406	63314	Phage-like protein	1	0.2
63325	63624	Hypothetical protein	1	0.2
63635	63934	Hypothetical protein	1	0.2
63979	64485	Hypothetical protein	1	0.2
64488	64874	Hypothetical protein	1	0.2
64901	65011	Hypothetical protein	1	0.2
65046	65279	Phage-like protein	1	0.2
65282	65485	Phage-like protein	1	0.2
65490	66791	Phage-like protein	1	0.2
67039	68322	Hypothetical protein	1	0.2
68563	68577	Attachment site	1	0.2
