start	end	protein_name	ymax	ymin
8802	8878	Attachment site	1	0.2
8911	10224	Integrase	-1	-0.2
10252	10557	Hypothetical protein	-1	-0.2
10644	10844	Hypothetical protein	-1	-0.2
10865	11704	Phage-like protein	-1	-0.2
11869	12117	Phage-like protein	1	0.2
12160	12915	Hypothetical protein	1	0.2
12936	13202	Hypothetical protein	1	0.2
13216	13497	Hypothetical protein	1	0.2
13514	14182	Hypothetical protein	1	0.2
14214	14543	Hypothetical protein	1	0.2
14585	14767	Hypothetical protein	1	0.2
14775	15128	Hypothetical protein	1	0.2
15205	15315	Hypothetical protein	1	0.2
15318	16340	Hypothetical protein	1	0.2
16378	17118	Hypothetical protein	1	0.2
17134	17919	Hypothetical protein	1	0.2
17940	18767	Phage-like protein	1	0.2
18785	19006	Hypothetical protein	1	0.2
19149	19604	Phage-like protein	1	0.2
19606	20181	Phage-like protein	1	0.2
20374	20565	Hypothetical protein	1	0.2
20672	21100	Hypothetical protein	-1	-0.2
21436	21921	Phage-like protein	1	0.2
22239	22535	Head protein	1	0.2
22600	22710	Hypothetical protein	1	0.2
22963	23349	Hypothetical protein	1	0.2
23508	23726	Phage-like protein	1	0.2
23838	24290	Terminase	1	0.2
24377	26014	Terminase	1	0.2
26022	26471	Hypothetical protein	1	0.2
26500	27687	Portal protein	1	0.2
27788	28228	Head protein	1	0.2
28241	29605	Head protein	1	0.2
29607	29888	Hypothetical protein	1	0.2
29908	30192	Hypothetical protein	1	0.2
30203	30520	Hypothetical protein	1	0.2
30591	30875	Hypothetical protein	1	0.2
30882	31526	Tail protein	1	0.2
31622	31990	Hypothetical protein	1	0.2
32185	34488	Tail protein	1	0.2
34500	35204	Tail protein	1	0.2
35234	38023	Hypothetical protein	1	0.2
38061	38552	Tail protein	1	0.2
38572	39426	Phage-like protein	1	0.2
39444	40214	Hypothetical protein	1	0.2
40219	40587	Phage-like protein	1	0.2
40632	41111	Hypothetical protein	1	0.2
41139	41546	Hypothetical protein	1	0.2
41548	41682	Hypothetical protein	1	0.2
41782	41910	Hypothetical protein	1	0.2
41983	42387	Phage-like protein	1	0.2
42390	43166	Phage-like protein	1	0.2
43286	43362	Attachment site	1	0.2
