target	acc	tlen	query	qlen	evalue
Peptidase_M15_3	PF08291.11	111	D3751.contig1_1	33	0.014
DUF870	PF05912.11	112	D3751.contig1_3	72	0.038
Peptidase_S74	PF13884.6	58	D3751.contig1_4	142	3.7e-06
P2_Phage_GpR	PF06891.11	131	D3751.contig1_21	92	0.023
Peptidase_C71	PF12386.8	142	D3751.contig1_25	434	0.028
NYN	PF01936.18	147	D3751.contig1_26	91	0.039
Pex14_N	PF04695.13	157	D3751.contig1_27	294	0.018
ArsA_ATPase	PF02374.15	305	D3751.contig1_31	150	0.021
DUF4795	PF16043.5	204	D3751.contig1_31	150	0.036
Nuc_deoxyri_tr2	PF15891.5	108	D3751.contig1_38	111	0.023
LIFR_N	PF18207.1	78	D3751.contig1_39	291	0.075
Phage_holin_T	PF11031.8	216	D3751.contig1_48	144	0.024
HTH_Crp_2	PF13545.6	68	D3751.contig1_50	77	0.0018
Topoisom_bac	PF01131.20	413	D3751.contig1_53	120	0.06
PfaD_N	PF18328.1	62	D3751.contig1_54	111	0.011
TetR_C_13	PF16925.5	115	D3751.contig1_55	109	0.094
Ribosomal_L12	PF00542.19	67	D3751.contig1_62	143	2.3e-06
Cytochrom_C1	PF02167.15	219	D3751.contig1_64	101	0.017
2TM	PF13239.6	76	D3751.contig1_66	133	0.004
Bep_C_terminal	PF17841.1	95	D3751.contig1_69	160	0.0027
Serpulina_VSP	PF05540.11	383	D3751.contig1_72	77	0.025
TRL	PF13146.6	77	D3751.contig1_72	77	0.034
DUF600	PF04634.12	146	D3751.contig1_74	100	0.015
Imm3	PF14425.6	119	D3751.contig1_75	63	0.0079
SEN1_N	PF12726.7	752	D3751.contig1_75	63	0.021
Sigma70_r2	PF04542.14	71	D3751.contig1_78	187	1.3e-14
Sigma70_r4_2	PF08281.12	54	D3751.contig1_78	187	5.7e-14
Sigma70_r4	PF04545.16	50	D3751.contig1_78	187	7.9e-10
Sigma70_ECF	PF07638.11	185	D3751.contig1_78	187	7.1e-05
HTH_23	PF13384.6	50	D3751.contig1_78	187	0.00019
GerE	PF00196.19	57	D3751.contig1_78	187	0.0024
HTH_24	PF13412.6	48	D3751.contig1_78	187	0.0067
FtsX_ECD	PF18075.1	96	D3751.contig1_87	283	0.015
Chromo_shadow	PF01393.19	53	D3751.contig1_88	86	0.0093
DnaB_C	PF03796.15	255	D3751.contig1_91	327	2.1e-22
MMR_HSR1	PF01926.23	114	D3751.contig1_91	327	0.00018
ABC_tran	PF00005.27	137	D3751.contig1_91	327	0.00025
Rad51	PF08423.11	255	D3751.contig1_91	327	0.00061
AAA_16	PF13191.6	170	D3751.contig1_91	327	0.002
AAA_7	PF12775.7	181	D3751.contig1_91	327	0.0028
ATPase_2	PF01637.18	233	D3751.contig1_91	327	0.0036
AAA_24	PF13479.6	197	D3751.contig1_93	247	4.6e-25
AAA_22	PF13401.6	137	D3751.contig1_93	247	0.00021
Imm40	PF15569.6	93	D3751.contig1_94	202	0.075
zf-CHC2	PF01807.20	98	D3751.contig1_95	323	1e-05
Toprim_2	PF13155.6	90	D3751.contig1_95	323	2.7e-05
Toprim_4	PF13662.6	89	D3751.contig1_95	323	0.0011
Toprim	PF01751.22	103	D3751.contig1_95	323	0.013
DUF1064	PF06356.11	117	D3751.contig1_97	134	5.4e-12
Phage_endo_I	PF05367.11	149	D3751.contig1_97	134	0.0002
Metallophos	PF00149.28	204	D3751.contig1_98	223	4.2e-10
Metallophos_2	PF12850.7	165	D3751.contig1_98	223	1.4e-07
DUF3799	PF12684.7	234	D3751.contig1_99	336	1.1e-05
tRNA_synt_1c_R1	PF04558.15	162	D3751.contig1_104	164	0.082
MazG_C	PF18722.1	190	D3751.contig1_107	183	0.03
DUF3161	PF11362.8	83	D3751.contig1_111	189	0.0047
Flavodoxin_3	PF12641.7	161	D3751.contig1_115	170	0.03
VPS13_C	PF16909.5	178	D3751.contig1_122	444	0.013
Fis1_TPR_C	PF14853.6	53	D3751.contig1_132	33	0.12
Ivy	PF08816.11	117	D3751.contig1_134	152	0.05
DUF5364	PF17322.2	185	D3751.contig1_137	49	0.15
Phage_coat	PF09063.10	127	D3751.contig1_141	62	0.015
DDRGK	PF09756.9	188	D3751.contig1_142	68	0.13
Tmemb_185A	PF10269.9	250	D3751.contig1_149	162	0.027
HBS1_N	PF08938.10	78	D3751.contig1_150	85	0.068
V-ATPase_G_2	PF16999.5	104	D3751.contig1_154	109	0.028
Rax2	PF12768.7	215	D3751.contig1_155	55	0.05
Rhomboid	PF01694.22	150	D3751.contig1_156	69	0.032
DUF4984	PF16372.5	164	D3751.contig1_157	317	0.0015
DUF1199	PF06712.11	52	D3751.contig1_158	114	0.0066
PEARLI-4	PF05278.12	269	D3751.contig2_1	186	0.0013
Phage_Nu1	PF07471.12	164	D3751.contig2_1	186	0.0017
Terminase_GpA	PF05876.12	558	D3751.contig2_2	611	8.6e-180
THP2	PF09432.10	129	D3751.contig2_3	79	0.061
Phage_portal_2	PF05136.13	362	D3751.contig2_4	546	3.6e-109
CLP_protease	PF00574.23	182	D3751.contig2_5	390	3.2e-26
SDH_sah	PF01972.16	286	D3751.contig2_5	390	4.2e-07
HDPD	PF02924.14	116	D3751.contig2_6	112	0.017
DUF2190	PF09956.9	102	D3751.contig2_6	112	0.029
Phage_cap_E	PF03864.15	333	D3751.contig2_7	352	1.5e-84
Minor_tail_Z	PF06763.11	190	D3751.contig2_9	189	7.6e-10
WDCP	PF15390.6	687	D3751.contig2_11	127	0.1
Phage_tube	PF04985.14	166	D3751.contig2_13	173	2.3e-44
Baculo_LEF-3	PF05847.11	364	D3751.contig2_13	173	0.041
Phage_TAC_7	PF10109.9	83	D3751.contig2_14	141	1.5e-09
PhageMin_Tail	PF10145.9	198	D3751.contig2_15	1215	1.7e-30
Baculo_PEP_C	PF04513.12	140	D3751.contig2_15	1215	2.7e-05
HOOK	PF05622.12	702	D3751.contig2_15	1215	0.0015
DHR10	PF18595.1	117	D3751.contig2_15	1215	0.0038
Phage_tail_X	PF05489.12	60	D3751.contig2_16	72	1.5e-06
LysM	PF01476.20	44	D3751.contig2_17	433	1e-16
Phage_GPD	PF05954.11	304	D3751.contig2_17	433	3.4e-11
PBP-Tp47_a	PF14889.6	162	D3751.contig2_17	433	0.017
Phage_base_V	PF04717.12	112	D3751.contig2_18	117	0.016
Phage_P2_GpU	PF06995.11	120	D3751.contig2_19	134	3.7e-25
GPW_gp25	PF04965.14	95	D3751.contig2_20	110	9.9e-06
Baseplate_J	PF04865.14	255	D3751.contig2_21	381	6.2e-60
Tail_P2_I	PF09684.10	136	D3751.contig2_22	334	3.1e-26
Dodecin	PF07311.12	64	D3751.contig2_23	104	0.026
GldH_lipo	PF14109.6	128	D3751.contig2_24	165	0.0092
RVT_1	PF00078.27	222	D3751.contig2_29	405	3.4e-23
DUF273	PF03314.14	219	D3751.contig2_30	150	0.025
MIP-T3_C	PF17749.1	154	D3751.contig2_30	150	0.03
SLAC1	PF03595.17	324	D3751.contig2_31	128	0.0011
DUF1761	PF08570.10	125	D3751.contig2_31	128	0.003
DUF1304	PF06993.12	110	D3751.contig2_31	128	0.005
LapA_dom	PF06305.11	64	D3751.contig2_31	128	0.0069
Phage_lysozyme2	PF18013.1	143	D3751.contig2_32	471	2e-37
LysM	PF01476.20	44	D3751.contig2_32	471	1.7e-32
LysM	PF01476.20	44	D3751.contig2_32	471	1.7e-32
CHAP	PF05257.16	83	D3751.contig2_32	471	3.3e-10
Phage_holin_6_1	PF09682.10	101	D3751.contig2_33	196	5.4e-14
SseC	PF04888.12	317	D3751.contig2_33	196	0.004
DUF3659	PF12396.8	61	D3751.contig2_33	196	0.0064
DnaJ_CXXCXGXG	PF00684.19	67	D3751.contig2_34	104	1.8e-05
Anti-TRAP	PF15777.5	59	D3751.contig2_34	104	0.003
PADR1	PF08063.12	53	D3751.contig2_34	104	0.026
eIF2_C	PF09173.11	86	D3751.contig2_35	75	0.016
YajC	PF02699.15	80	D3751.contig2_35	75	0.047
CBM46	PF18448.1	105	D3751.contig2_36	99	0.043
MapZ_C2	PF18708.1	92	D3751.contig2_37	81	0.038
Kre28	PF17097.5	368	D3751.contig2_38	108	0.028
DUF935	PF06074.12	520	D3751.contig2_39	48	0.033
NfeD	PF01957.18	84	D3751.contig2_40	225	0.041
Resolvase	PF00239.21	146	D3751.contig2_41	457	2e-30
Zn_ribbon_recom	PF13408.6	58	D3751.contig2_41	457	1.9e-10
Recombinase	PF07508.13	104	D3751.contig2_41	457	6.2e-07
UPF0172	PF03665.13	191	D3751.contig2_41	457	0.009
