target	acc	tlen	query	qlen	evalue
AAA_26	PF13500.6	198	D3730.contig1_2	75	0.0034
Phage_portal	PF04860.12	314	D3730.contig1_10	431	1.4e-38
Terminase_6	PF03237.15	215	D3730.contig1_11	417	7.4e-16
Terminase_6C	PF17289.2	155	D3730.contig1_11	417	3.1e-11
Terminase_3	PF04466.13	201	D3730.contig1_11	417	4.4e-07
N6_N4_Mtase	PF01555.18	231	D3730.contig1_13	461	5.4e-12
N6_N4_Mtase	PF01555.18	231	D3730.contig1_13	461	5.4e-12
ParBc	PF02195.18	90	D3730.contig1_13	461	0.00016
Cons_hypoth95	PF03602.15	182	D3730.contig1_13	461	0.0018
HTH_36	PF13730.6	55	D3730.contig1_14	204	0.038
RusA	PF05866.11	124	D3730.contig1_15	163	4.6e-36
DUF1376	PF07120.11	87	D3730.contig1_17	368	9.3e-25
DUF2156	PF09924.9	298	D3730.contig1_18	157	0.1
SpaA	PF17802.1	82	D3730.contig1_19	93	0.072
DUF2591	PF10765.9	116	D3730.contig1_21	125	4.5e-18
Phage_CII	PF05269.11	91	D3730.contig1_24	89	0.00017
HTH_31	PF13560.6	64	D3730.contig1_24	89	0.0061
LIME1	PF15332.6	224	D3730.contig1_26	114	0.072
Peptidase_S24	PF00717.23	70	D3730.contig1_27	250	3.5e-10
HTH_8	PF02954.19	42	D3730.contig1_27	250	0.019
HTH_3	PF01381.22	55	D3730.contig1_27	250	0.026
Peptidase_S24	PF00717.23	70	D3730.contig1_28	336	2.5e-09
RcnB	PF11776.8	51	D3730.contig1_31	155	1.1e-24
DUF3846	PF12957.7	91	D3730.contig1_36	100	0.0046
PDDEXK_1	PF12705.7	255	D3730.contig1_39	265	3.6e-16
DUF2800	PF10926.8	363	D3730.contig1_39	265	0.016
FtsK_gamma	PF09397.10	63	D3730.contig1_41	296	1.4e-25
RMF	PF04957.12	54	D3730.contig1_41	296	4.1e-05
FeoC	PF09012.10	69	D3730.contig1_41	296	0.018
AAA_23	PF13476.6	200	D3730.contig1_42	582	2.3e-11
AAA_15	PF13175.6	369	D3730.contig1_42	582	5.9e-06
SMC_N	PF02463.19	220	D3730.contig1_42	582	2e-05
AAA_33	PF13671.6	143	D3730.contig1_42	582	0.0003
AAA_29	PF13555.6	61	D3730.contig1_42	582	0.00034
Sgf11	PF08209.11	33	D3730.contig1_43	86	0.0037
zf-Di19	PF05605.12	54	D3730.contig1_43	86	0.0048
PRP21_like_P	PF12230.8	217	D3730.contig1_43	86	0.019
Phage_AlpA	PF05930.12	51	D3730.contig1_45	68	6.6e-16
HTH_17	PF12728.7	51	D3730.contig1_45	68	0.0027
MarR_2	PF12802.7	62	D3730.contig1_46	104	0.0011
Rrf2	PF02082.20	83	D3730.contig1_46	104	0.0059
STE3	PF02076.15	289	D3730.contig1_47	78	0.057
RNase_T	PF00929.24	165	D3730.contig1_48	206	2.3e-09
CopD	PF05425.13	105	D3730.contig1_49	42	0.013
DUF1566	PF07603.11	115	D3730.contig1_53	217	1.4e-11
DUF1566	PF07603.11	115	D3730.contig1_54	158	0.00012
UPF0149	PF03695.13	174	D3730.contig1_54	158	0.011
DUF1566	PF07603.11	115	D3730.contig1_55	152	0.0001
23S_rRNA_IVP	PF05635.11	106	D3730.contig1_56	125	0.011
RVT_1	PF00078.27	222	D3730.contig1_57	379	6.7e-14
DNA_methylase	PF00145.17	335	D3730.contig1_58	560	3e-23
DNA_methylase	PF00145.17	335	D3730.contig1_58	560	3e-23
Phage_integrase	PF00589.22	172	D3730.contig1_61	335	9.8e-14
MFS_1	PF07690.16	353	D3730.contig1_62	444	1.2e-48
Amidase	PF01425.21	451	D3730.contig1_63	445	1.9e-88
DUF2848	PF11010.8	194	D3730.contig1_64	226	1.4e-83
FAA_hydrolase	PF01557.18	218	D3730.contig1_64	226	3e-05
FCD	PF07729.12	125	D3730.contig1_65	233	6.3e-29
GntR	PF00392.21	64	D3730.contig1_65	233	3.2e-18
HTH_Crp_2	PF13545.6	68	D3730.contig1_65	233	0.00082
HTH_29	PF13551.6	63	D3730.contig1_65	233	0.0059
IclR	PF01614.18	129	D3730.contig1_66	284	2.6e-26
HTH_IclR	PF09339.10	52	D3730.contig1_66	284	9.7e-14
MarR_2	PF12802.7	62	D3730.contig1_66	284	0.0002
HTH_27	PF13463.6	68	D3730.contig1_66	284	0.0017
HTH_Crp_2	PF13545.6	68	D3730.contig1_66	284	0.0057
Peptidase_M20	PF01546.28	207	D3730.contig1_67	416	3.5e-36
Peptidase_M28	PF04389.17	198	D3730.contig1_67	416	1.7e-07
M20_dimer	PF07687.14	109	D3730.contig1_67	416	2.7e-05
SBP_bac_5	PF00496.22	377	D3730.contig1_68	563	4.5e-65
BPD_transp_1	PF00528.22	185	D3730.contig1_69	317	2.5e-38
BPD_transp_1	PF00528.22	185	D3730.contig1_70	296	5.2e-21
OppC_N	PF12911.7	51	D3730.contig1_70	296	1.5e-11
ABC_tran	PF00005.27	137	D3730.contig1_71	362	1.9e-32
oligo_HPY	PF08352.12	65	D3730.contig1_71	362	2.9e-19
AAA_22	PF13401.6	137	D3730.contig1_71	362	1.6e-05
AAA_16	PF13191.6	170	D3730.contig1_71	362	9.6e-05
DUF87	PF01935.17	227	D3730.contig1_71	362	0.0006
RNA_helicase	PF00910.22	107	D3730.contig1_71	362	0.0019
ABC_tran	PF00005.27	137	D3730.contig1_72	355	1.7e-28
oligo_HPY	PF08352.12	65	D3730.contig1_72	355	1.9e-17
AAA_21	PF13304.6	303	D3730.contig1_72	355	3.6e-09
AAA_22	PF13401.6	137	D3730.contig1_72	355	0.00022
AAA_16	PF13191.6	170	D3730.contig1_72	355	0.00057
AAA_29	PF13555.6	61	D3730.contig1_72	355	0.0013
Amidase	PF01425.21	451	D3730.contig1_73	397	4.7e-61
Amidase	PF01425.21	451	D3730.contig1_73	397	4.7e-61
DUF3830	PF12903.7	145	D3730.contig1_74	137	4e-31
ACR_tran	PF00873.19	1021	D3730.contig1_75	1038	5.6e-168
MMPL	PF03176.15	333	D3730.contig1_75	1038	0.00011
HlyD_D23	PF16576.5	214	D3730.contig1_76	398	1.8e-24
HlyD_3	PF13437.6	106	D3730.contig1_76	398	6.6e-19
Biotin_lipoyl_2	PF13533.6	50	D3730.contig1_76	398	1.7e-08
SQS_PSY	PF00494.19	263	D3730.contig1_77	279	1.7e-76
Peptidase_M20	PF01546.28	207	D3730.contig1_78	425	3.7e-21
M20_dimer	PF07687.14	109	D3730.contig1_78	425	0.00011
SGL	PF08450.12	246	D3730.contig1_79	299	7e-45
Str_synth	PF03088.16	89	D3730.contig1_79	299	3.2e-05
Arylesterase	PF01731.20	86	D3730.contig1_79	299	0.0011
Response_reg	PF00072.24	112	D3730.contig1_81	241	8.3e-32
Trans_reg_C	PF00486.28	77	D3730.contig1_81	241	4.2e-24
RisS_PPD	PF16524.5	107	D3730.contig1_82	450	4.5e-39
HATPase_c	PF02518.26	112	D3730.contig1_82	450	3.5e-14
HAMP	PF00672.25	53	D3730.contig1_82	450	3.6e-10
HisKA	PF00512.25	67	D3730.contig1_82	450	6.4e-08
HATPase_c_2	PF13581.6	125	D3730.contig1_82	450	0.00054
HATPase_c_5	PF14501.6	101	D3730.contig1_82	450	0.002
HTH_Tnp_1	PF01527.20	75	D3730.contig1_83	101	3.2e-13
