target	acc	tlen	query	qlen	evalue
HNH	PF01844.23	47	D3684.contig1_1	109	0.021
NinG	PF05766.12	186	D3684.contig1_2	167	0.00011
Terminase_1	PF03354.15	468	D3684.contig1_4	625	1e-06
DUF1073	PF06381.11	357	D3684.contig1_5	537	4.9e-07
Phage_prot_Gp6	PF05133.14	420	D3684.contig1_5	537	7.8e-06
Phage_portal_2	PF05136.13	362	D3684.contig1_5	537	0.011
Phage_cap_E	PF03864.15	333	D3684.contig1_9	357	1.8e-20
Phage_ASH	PF10554.9	107	D3684.contig1_13	155	0.049
CENP-T_C	PF15511.6	108	D3684.contig1_15	141	0.03
Spc7	PF08317.11	310	D3684.contig1_19	1634	0.0021
KxDL	PF10241.9	86	D3684.contig1_19	1634	0.0071
Glyco_hydro_25	PF01183.20	178	D3684.contig1_27	415	6.6e-20
LysM	PF01476.20	44	D3684.contig1_27	415	1.8e-11
LysM	PF01476.20	44	D3684.contig1_27	415	1.8e-11
CW_7	PF08230.11	40	D3684.contig1_27	415	7.9e-08
Phage_holin_Dp1	PF16938.5	63	D3684.contig1_28	92	1.9e-20
Phage_integrase	PF00589.22	172	D3684.contig1_30	456	4.3e-20
Phage_integrase	PF00589.22	172	D3684.contig1_30	456	4.3e-20
Phage_int_SAM_3	PF14659.6	58	D3684.contig1_30	456	3.9e-07
Phage_int_SAM_5	PF13102.6	99	D3684.contig1_30	456	0.0005
Transposase_mut	PF00872.18	381	D3684.contig1_34	395	3.6e-103
MULE	PF10551.9	96	D3684.contig1_34	395	7.7e-06
DDE_Tnp_IS240	PF13610.6	140	D3684.contig1_34	395	0.017
Peptidase_M78	PF06114.13	123	D3684.contig1_36	137	2.3e-06
zf-HIT	PF04438.16	30	D3684.contig1_36	137	0.015
Phage_CII	PF05269.11	91	D3684.contig1_38	75	0.15
P22_AR_N	PF10547.9	114	D3684.contig1_40	280	2.3e-28
ANT	PF03374.14	108	D3684.contig1_40	280	8.7e-19
TrmB	PF01978.19	68	D3684.contig1_43	119	2.3e-05
MarR_2	PF12802.7	62	D3684.contig1_43	119	0.0019
