target	acc	tlen	query	qlen	evalue
NmrA	PF05368.13	233	D3570.contig1_1	230	2.8e-47
NAD_binding_10	PF13460.6	184	D3570.contig1_1	230	3.5e-20
Epimerase	PF01370.21	241	D3570.contig1_1	230	2.2e-07
Lactamase_B	PF00753.27	197	D3570.contig1_2	289	1.5e-22
Lactamase_B_2	PF12706.7	201	D3570.contig1_2	289	4.8e-07
LysR_substrate	PF03466.20	209	D3570.contig1_3	308	3.2e-24
HTH_1	PF00126.27	60	D3570.contig1_3	308	5.6e-16
LysR_substrate	PF03466.20	209	D3570.contig1_4	302	2.2e-44
HTH_1	PF00126.27	60	D3570.contig1_4	302	6.8e-17
NmrA	PF05368.13	233	D3570.contig1_5	310	1.7e-16
DUF1471	PF07338.13	56	D3570.contig1_6	69	6.1e-09
AraC_N	PF06719.13	148	D3570.contig1_7	293	3.8e-37
HTH_18	PF12833.7	81	D3570.contig1_7	293	1.9e-19
HTH_AraC	PF00165.23	42	D3570.contig1_7	293	1.2e-11
HTH_AraC	PF00165.23	42	D3570.contig1_7	293	1.2e-11
TetR_N	PF00440.23	47	D3570.contig1_7	293	0.0002
AraC_binding_2	PF14525.6	172	D3570.contig1_7	293	0.0067
adh_short_C2	PF13561.6	234	D3570.contig1_8	252	2e-50
adh_short	PF00106.25	195	D3570.contig1_8	252	1.1e-45
KR	PF08659.10	180	D3570.contig1_8	252	6.5e-12
TetR_N	PF00440.23	47	D3570.contig1_9	198	3.8e-11
adh_short_C2	PF13561.6	234	D3570.contig1_10	238	2.6e-53
adh_short	PF00106.25	195	D3570.contig1_10	238	4.6e-45
Epimerase	PF01370.21	241	D3570.contig1_10	238	3.9e-07
NAD_binding_10	PF13460.6	184	D3570.contig1_10	238	0.00025
F420_oxidored	PF03807.17	97	D3570.contig1_10	238	0.001
KR	PF08659.10	180	D3570.contig1_10	238	0.0011
CbbQ_C	PF08406.10	85	D3570.contig1_11	165	0.084
T6SS-SciN	PF12790.7	120	D3570.contig1_12	181	2e-29
T6SS_TssG	PF06996.11	299	D3570.contig1_13	362	9.7e-68
T6SS_TssF	PF05947.12	603	D3570.contig1_14	585	1.8e-183
T6SS_VasJ	PF16989.5	255	D3570.contig1_15	531	1.9e-79
ImpA_N	PF06812.12	119	D3570.contig1_15	531	3.7e-20
IcmF-related	PF06761.12	309	D3570.contig1_16	1150	5e-68
IcmF_C	PF06744.12	203	D3570.contig1_16	1150	4.4e-53
Claudin_2	PF13903.6	193	D3570.contig1_17	378	0.047
PAAR_motif	PF05488.13	70	D3570.contig1_18	86	3e-16
DUF2235	PF09994.9	288	D3570.contig1_19	800	4.1e-29
DUF2235	PF09994.9	288	D3570.contig1_19	800	4.1e-29
DUF3304	PF11745.8	111	D3570.contig1_20	112	2.4e-21
LPAM_1	PF08139.12	18	D3570.contig1_20	112	0.011
DUF4123	PF13503.6	131	D3570.contig1_21	259	3.8e-14
Phage_GPD	PF05954.11	304	D3570.contig1_22	793	1.2e-61
DUF2345	PF10106.9	151	D3570.contig1_22	793	9.6e-40
T6SS_Vgr	PF13296.6	108	D3570.contig1_22	793	2.6e-35
Sarcoglycan_1	PF04790.13	260	D3570.contig1_22	793	0.002
AAA_2	PF07724.14	171	D3570.contig1_23	885	3.9e-39
AAA_lid_9	PF17871.1	104	D3570.contig1_23	885	2.5e-30
AAA	PF00004.29	132	D3570.contig1_23	885	3.2e-20
AAA	PF00004.29	132	D3570.contig1_23	885	3.2e-20
AAA_5	PF07728.14	138	D3570.contig1_23	885	5.3e-15
AAA_16	PF13191.6	170	D3570.contig1_23	885	3.6e-13
AAA_16	PF13191.6	170	D3570.contig1_23	885	3.6e-13
ClpB_D2-small	PF10431.9	81	D3570.contig1_23	885	9.1e-13
NACHT	PF05729.12	166	D3570.contig1_23	885	7.7e-06
Sigma54_activat	PF00158.26	168	D3570.contig1_23	885	2.3e-05
T6SS_HCP	PF05638.12	129	D3570.contig1_24	164	4e-37
OmpA	PF00691.20	95	D3570.contig1_25	569	1.2e-16
DUF4131	PF13567.6	167	D3570.contig1_25	569	0.00026
DotU	PF09850.9	205	D3570.contig1_26	230	5.1e-35
