target	acc	tlen	query	qlen	evalue
HNH	PF01844.23	47	D3571.contig1_1	109	3.8e-12
zf-RRPl_C4	PF17026.5	108	D3571.contig1_1	109	0.0031
DbpA	PF03880.15	72	D3571.contig1_2	80	0.021
DUF1492	PF07374.11	100	D3571.contig1_6	158	0.001
DUF3906	PF13046.6	64	D3571.contig1_8	45	0.049
Rh5	PF18515.1	256	D3571.contig1_15	87	0.066
HTH_3	PF01381.22	55	D3571.contig1_16	129	0.00012
HTH_26	PF13443.6	63	D3571.contig1_16	129	0.004
UPF0231	PF06062.11	121	D3571.contig1_16	129	0.0041
N6_Mtase	PF02384.16	312	D3571.contig1_19	217	1.6e-08
Phage_integrase	PF00589.22	172	D3571.contig1_21	319	1.1e-25
Lipase_GDSL	PF00657.22	200	D3571.contig1_21	319	0.016
Phage_integrase	PF00589.22	172	D3571.contig1_22	328	7.9e-33
Phage_int_SAM_4	PF13495.6	85	D3571.contig1_22	328	6.4e-09
HNH_3	PF13392.6	46	D3571.contig1_23	203	3.8e-15
DUF5424	PF17462.2	174	D3571.contig1_24	85	0.027
SUR7	PF06687.12	212	D3571.contig1_25	76	0.038
EFP_N	PF08207.12	58	D3571.contig1_26	92	0.038
DUF1064	PF06356.11	117	D3571.contig1_27	163	2.6e-12
HTH_3	PF01381.22	55	D3571.contig1_31	181	6.1e-13
HTH_31	PF13560.6	64	D3571.contig1_31	181	9.5e-11
HTH_19	PF12844.7	65	D3571.contig1_31	181	1.8e-10
MazG	PF03819.17	74	D3571.contig1_31	181	1e-07
HTH_25	PF13413.6	62	D3571.contig1_31	181	4.5e-05
HTH_26	PF13443.6	63	D3571.contig1_31	181	4.8e-05
MazG-like	PF12643.7	85	D3571.contig1_31	181	0.00015
Pox_D5	PF03288.16	86	D3571.contig1_32	134	0.17
DnaB_C	PF03796.15	255	D3571.contig1_33	407	2e-62
Rad51	PF08423.11	255	D3571.contig1_33	407	0.0071
ATPase	PF06745.13	231	D3571.contig1_33	407	0.015
Phg_2220_C	PF09524.10	74	D3571.contig1_34	300	2.2e-26
HTH_36	PF13730.6	55	D3571.contig1_34	300	5e-06
MarR	PF01047.22	59	D3571.contig1_34	300	0.0005
TrmB	PF01978.19	68	D3571.contig1_34	300	0.00093
MarR_2	PF12802.7	62	D3571.contig1_34	300	0.0026
HTH_26	PF13443.6	63	D3571.contig1_35	71	1.2e-19
HTH_19	PF12844.7	65	D3571.contig1_35	71	2.6e-05
HTH_3	PF01381.22	55	D3571.contig1_35	71	0.00011
HNHc_6	PF16784.5	200	D3571.contig1_36	231	1.2e-36
DUF968	PF06147.11	200	D3571.contig1_36	231	1.9e-05
DUF669	PF05037.13	141	D3571.contig1_37	194	1.4e-31
AAA_24	PF13479.6	197	D3571.contig1_38	231	2.7e-26
ATPase_2	PF01637.18	233	D3571.contig1_38	231	0.0025
AAA_16	PF13191.6	170	D3571.contig1_38	231	0.0044
NB-ARC	PF00931.22	252	D3571.contig1_38	231	0.0082
DUF1351	PF07083.11	210	D3571.contig1_40	304	7.9e-36
ORF6C	PF10552.9	114	D3571.contig1_47	239	4.5e-30
Phage_pRha	PF09669.10	88	D3571.contig1_47	239	1.5e-28
HTH_26	PF13443.6	63	D3571.contig1_49	132	2.9e-08
HTH_3	PF01381.22	55	D3571.contig1_49	132	3.8e-08
HTH_19	PF12844.7	65	D3571.contig1_49	132	6.7e-07
BetR	PF08667.10	148	D3571.contig1_49	132	0.004
Peptidase_M78	PF06114.13	123	D3571.contig1_50	142	1.2e-08
Peptidase_M48	PF01435.18	196	D3571.contig1_50	142	0.0042
Lipoprotein_Ltp	PF07553.11	48	D3571.contig1_51	217	4.3e-40
Lipoprotein_Ltp	PF07553.11	48	D3571.contig1_51	217	4.3e-40
DUF4131	PF13567.6	167	D3571.contig1_51	217	0.0076
DUF4428	PF14471.6	51	D3571.contig1_52	156	0.002
Prominin	PF05478.11	800	D3571.contig1_52	156	0.049
Resolvase	PF00239.21	146	D3571.contig1_53	475	3.1e-42
Recombinase	PF07508.13	104	D3571.contig1_53	475	1e-14
Zn_ribbon_recom	PF13408.6	58	D3571.contig1_53	475	5.2e-10
HypA	PF01155.19	112	D3571.contig1_54	38	0.002
zinc_ribbon_9	PF14369.6	35	D3571.contig1_54	38	0.0023
zf-MIZ	PF02891.20	50	D3571.contig1_54	38	0.0042
zf-Sec23_Sec24	PF04810.15	39	D3571.contig1_54	38	0.012
GAGBD	PF16828.5	152	D3571.contig1_57	98	0.00066
DUF3520	PF12034.8	182	D3571.contig1_57	98	0.067
LysM	PF01476.20	44	D3571.contig1_58	423	5.9e-32
LysM	PF01476.20	44	D3571.contig1_58	423	5.9e-32
