target	acc	tlen	query	qlen	evalue
RecT	PF03837.14	199	D3940.contig1_1	344	4.6e-26
SSB	PF00436.25	104	D3940.contig1_2	129	2.1e-35
TraN	PF06986.11	240	D3940.contig1_7	1120	9.4e-37
TraN	PF06986.11	240	D3940.contig1_7	1120	9.4e-37
TraU	PF06834.11	307	D3940.contig1_8	349	3.9e-82
EAL	PF00563.20	238	D3940.contig1_9	230	1.4e-25
TrbC_Ftype	PF09673.10	112	D3940.contig1_10	384	2.4e-15
Diphthamide_syn	PF01866.17	303	D3940.contig1_10	384	0.026
Peptidase_S26	PF10502.9	138	D3940.contig1_11	164	1.3e-17
Peptidase_S24	PF00717.23	70	D3940.contig1_11	164	0.032
TraC_F_IV	PF11130.8	238	D3940.contig1_13	801	2.3e-36
AAA_10	PF12846.7	362	D3940.contig1_13	801	3.4e-15
DUF87	PF01935.17	227	D3940.contig1_13	801	0.0067
Thioredoxin_2	PF13098.6	109	D3940.contig1_14	229	7e-13
DsbC_N	PF10411.9	54	D3940.contig1_14	229	8.5e-06
DDE_Tnp_1	PF01609.21	214	D3940.contig1_15	475	3.5e-16
DUF772	PF05598.11	73	D3940.contig1_15	475	3.4e-15
DDE_Tnp_1_6	PF13751.6	125	D3940.contig1_15	475	1.2e-14
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Big_9	PF17963.1	90	D3940.contig1_16	2262	1e-78
Cadherin_5	PF17892.1	98	D3940.contig1_16	2262	1.6e-22
Cadherin_4	PF17803.1	72	D3940.contig1_16	2262	2.5e-09
TrbC	PF04956.13	99	D3940.contig1_17	124	6.5e-07
