target	acc	tlen	query	qlen	evalue
TonB_dep_Rec	PF00593.24	470	D3960.contig1_1	669	4.2e-56
Plug	PF07715.15	108	D3960.contig1_1	669	6.8e-22
OMP_b-brl_3	PF14905.6	408	D3960.contig1_1	669	1.8e-12
Amidohydro_3	PF07969.11	473	D3960.contig1_2	569	2.9e-72
Amidohydro_1	PF01979.20	344	D3960.contig1_2	569	4.9e-16
DUF406	PF04175.12	92	D3960.contig1_3	100	2e-29
IU_nuc_hydro	PF01156.19	305	D3960.contig1_4	312	6.4e-89
ADH_N_2	PF16884.5	108	D3960.contig1_5	346	6.9e-45
ADH_zinc_N	PF00107.26	130	D3960.contig1_5	346	1.1e-17
ADH_zinc_N_2	PF13602.6	133	D3960.contig1_5	346	2.3e-12
HTH_3	PF01381.22	55	D3960.contig1_6	194	6.1e-13
HTH_19	PF12844.7	65	D3960.contig1_6	194	2.4e-09
HTH_31	PF13560.6	64	D3960.contig1_6	194	2.4e-09
Cupin_2	PF07883.11	71	D3960.contig1_6	194	8e-05
HTH_25	PF13413.6	62	D3960.contig1_6	194	0.00027
HTH_26	PF13443.6	63	D3960.contig1_6	194	0.0005
Acetyltransf_4	PF13420.7	155	D3960.contig1_7	173	1.4e-18
Acetyltransf_1	PF00583.25	117	D3960.contig1_7	173	5.7e-16
Acetyltransf_3	PF13302.7	138	D3960.contig1_7	173	1.9e-12
Acetyltransf_10	PF13673.7	127	D3960.contig1_7	173	1.6e-09
Acetyltransf_7	PF13508.7	76	D3960.contig1_7	173	1.8e-09
FR47	PF08445.10	86	D3960.contig1_7	173	2.4e-09
GNAT_acetyltran	PF12746.7	243	D3960.contig1_7	173	1.1e-06
Acetyltransf_CG	PF14542.6	80	D3960.contig1_7	173	0.00032
DMT_YdcZ	PF04657.13	139	D3960.contig1_8	150	2.7e-19
DUF2526	PF10735.9	81	D3960.contig1_9	78	2.2e-43
Acyl-CoA_ox_N	PF14749.6	125	D3960.contig1_9	78	0.014
SBP_bac_5	PF00496.22	377	D3960.contig1_10	533	7e-95
Aldedh	PF00171.22	462	D3960.contig1_11	478	1.3e-136
Abhydrolase_6	PF12697.7	220	D3960.contig1_12	250	3.3e-18
Abhydrolase_1	PF00561.20	257	D3960.contig1_12	250	5e-16
Hydrolase_4	PF12146.8	239	D3960.contig1_12	250	1.4e-08
Thioesterase	PF00975.20	231	D3960.contig1_12	250	0.00016
Toxin_GhoT_OrtT	PF10753.9	55	D3960.contig1_13	58	2.5e-25
DUF5325	PF17259.2	61	D3960.contig1_13	58	0.015
PelG	PF16933.5	452	D3960.contig1_13	58	0.022
DUF308	PF03729.13	73	D3960.contig1_15	41	0.0017
Aldedh	PF00171.22	462	D3960.contig1_16	476	5.4e-164
BPD_transp_1	PF00528.22	185	D3960.contig1_17	269	2.7e-10
BPD_transp_1	PF00528.22	185	D3960.contig1_18	310	6.8e-16
DUF1182	PF06681.13	208	D3960.contig1_18	310	0.011
ABC_tran	PF00005.27	137	D3960.contig1_19	338	2.9e-33
TOBE_2	PF08402.10	76	D3960.contig1_19	338	1.2e-14
AAA_21	PF13304.6	303	D3960.contig1_19	338	9.8e-06
SBP_bac_8	PF13416.6	282	D3960.contig1_20	382	2.5e-24
SBP_bac_1	PF01547.25	315	D3960.contig1_20	382	1.7e-20
SBP_bac_6	PF13343.6	245	D3960.contig1_20	382	8.6e-14
SBP_bac_6	PF13343.6	245	D3960.contig1_20	382	8.6e-14
Aminotran_1_2	PF00155.21	363	D3960.contig1_21	471	2.5e-32
GntR	PF00392.21	64	D3960.contig1_21	471	4.6e-12
APH	PF01636.23	240	D3960.contig1_21	471	0.024
Cyt_bd_oxida_I	PF01654.17	418	D3960.contig1_23	466	1.1e-165
DUF4235	PF14019.6	77	D3960.contig1_23	466	0.041
Cyt_bd_oxida_II	PF02322.15	303	D3960.contig1_24	337	3e-96
DUF2474	PF10617.9	39	D3960.contig1_25	42	6.7e-17
DUF2554	PF10829.8	76	D3960.contig1_27	77	4.9e-26
Peptidase_U32	PF01136.19	233	D3960.contig1_28	654	1.2e-73
DUF3656	PF12392.8	107	D3960.contig1_28	654	1.1e-18
HTH_3	PF01381.22	55	D3960.contig1_29	190	5.4e-16
HTH_31	PF13560.6	64	D3960.contig1_29	190	1.1e-10
Cupin_2	PF07883.11	71	D3960.contig1_29	190	5.2e-09
HTH_19	PF12844.7	65	D3960.contig1_29	190	2.8e-06
HTH_25	PF13413.6	62	D3960.contig1_29	190	4.3e-06
HTH_26	PF13443.6	63	D3960.contig1_29	190	0.00024
HTH_37	PF13744.6	80	D3960.contig1_29	190	0.0017
BenE	PF03594.13	378	D3960.contig1_30	389	4.6e-140
HTH_AraC	PF00165.23	42	D3960.contig1_31	290	4e-24
HTH_AraC	PF00165.23	42	D3960.contig1_31	290	4e-24
HTH_18	PF12833.7	81	D3960.contig1_31	290	6e-23
EamA	PF00892.20	137	D3960.contig1_32	299	2.8e-26
EamA	PF00892.20	137	D3960.contig1_32	299	2.8e-26
DUF3313	PF11769.8	186	D3960.contig1_33	223	5.2e-55
TehB	PF03848.14	193	D3960.contig1_34	199	5.4e-98
Methyltransf_25	PF13649.6	97	D3960.contig1_34	199	1e-12
